#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,NAVAS Keylor,Keilor Antonio,NAVAS GAMBOA,K. NAVAS,15-12-1986,Paris Saint-Germain FC (FRA),185,109,0
2,MF,CHACON Daniel,Daniel Alonso,CHACÓN SALAS,D. CHACÓN,11-04-2001,Colorado Rapids (USA),183,10,0
3,DF,VARGAS Juan Pablo,Juan Pablo,VARGAS CAMPOS,J. VARGAS,06-06-1995,Millonarios FC (COL),192,13,1
4,DF,FULLER Keysher,Keysher,FULLER SPENCE,K. FULLER,12-07-1994,CS Herediano (CRC),183,32,3
5,MF,BORGES Celso,Celso,BORGES MORA,C. BORGES,27-05-1988,LD Alajuelense (CRC),182,155,25
6,DF,DUARTE Oscar,Oscar Esau,DUARTE GAITAN,O. DUARTE,03-06-1989,Al Wehda FC (KSA),186,73,4
7,FW,CONTRERAS Anthony,Anthony Daniel,CONTRERAS ENRÍQUEZ,A. CONTRERAS,29-01-2000,CS Herediano (CRC),180,11,2
8,DF,OVIEDO Bryan,Bryan Josué,OVIEDO JIMÉNEZ,B. OVIEDO,18-02-1990,Real Salt Lake (USA),172,78,2
9,MF,BENNETTE Jewison,Jewison Francisco,BENNETTE VILLEGAS,J. BENNETTE,15-06-2004,Sunderland AFC (ENG),173,10,2
10,MF,RUIZ Bryan,Bryan Jafet,RUIZ GONZÁLEZ,BRYAN,18-08-1985,LD Alajuelense (CRC),187,145,29
11,FW,VENEGAS Johan,Johan Alberto,VENEGAS ULLOA,JOHAN,27-11-1988,LD Alajuelense (CRC),183,81,11
12,FW,CAMPBELL Joel,Joel Nathaniel,CAMPBELL SAMUELS,J. CAMPBELL,26-06-1992,Club León (MEX),178,120,23
13,MF,TORRES Gerson,Gerson,TORRES BARRANTES,G. TORRES,28-08-1997,CS Herediano (CRC),176,13,1
14,MF,SALAS Youstin,Youstin Delfin,SALAS GOMEZ,Y. SALAS,17-06-1996,Deportivo Saprissa (CRC),173,6,0
15,DF,CALVO Francisco,Francisco Javier,CALVO QUESADA,F. CALVO,08-07-1992,Konyaspor (TUR),180,74,7
16,DF,MARTINEZ Carlos,Carlos Manuel,MARTÍNEZ CASTRO,C. MARTÍNEZ,30-03-1999,AD San Carlos (CRC),176,7,0
17,MF,TEJEDA Yeltsin,Yeltsin Ignacio,TEJEDA VALVERDE,Y. TEJEDA,17-03-1992,CS Herediano (CRC),179,74,1
18,GK,ALVARADO Esteban,Esteban,ALVARADO BROWN,E. ALVARADO,28-04-1989,CS Herediano (CRC),193,25,0
19,DF,WASTON Kendall,Kendall Jamaal,WASTON MANLEY,K. WASTON,01-01-1988,Deportivo Saprissa (CRC),196,65,9
20,MF,AGUILERA Brandon,Brandon,AGUILERA ZAMORA,B. AGUILERA,28-06-2003,AD Guanacasteca (CRC),179,8,0
21,MF,LOPEZ Douglas,Douglas Andrey,LÓPEZ ARAYA,D. LÓPEZ,21-09-1998,CS Herediano (CRC),180,3,0
22,DF,MATARRITA Ronald,Ronald Alberto,MATARRITA ULATE,R. MATARRITA,09-07-1994,FC Cincinnatti (USA),175,53,3
23,GK,SEQUEIRA Patrick,Patrick Gilmar,SEQUEIRA MEJIAS,P. SEQUEIRA,01-03-1999,CD Lugo (ESP),190,2,0
24,MF,WILSON Roan,Roan Roberto,WILSON GORDON,R. WILSON,01-05-2002,AD Municipal Grecia (CRC),184,4,0
25,MF,HERNANDEZ Anthony,Anthony William,HERNÁNDEZ GONZÁLEZ,A. HERNÁNDEZ,11-10-2001,Puntarenas FC (CRC),179,3,1
26,MF,ZAMORA Alvaro,Alvaro José,ZAMORA MATA,A. ZAMORA,09-03-2002,Deportivo Saprissa (CRC),180,4,0
