#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,ARMANI Franco,Franco,ARMANI,ARMANI,16-10-1986,CA River Plate (ARG),189,18,0
2,DF,FOYTH Juan,Juan Marcos,FOYTH,FOYTH,12-01-1998,Villarreal CF (ESP),188,16,0
3,DF,TAGLIAFICO Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,31-08-1992,Olympique Lyon (FRA),172,44,0
4,DF,MONTIEL Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,01-01-1997,Sevilla FC (ESP),175,19,0
5,MF,PAREDES Leandro,Leandro Daniel,PAREDES,PAREDES,29-06-1994,Juventus FC (ITA),182,48,4
6,DF,PEZZELLA German,Germán Alejo,PEZZELLA,PEZZELLA,27-06-1991,Real Betis (ESP),190,33,2
7,MF,DE PAUL Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,24-05-1994,CA Atlético Madrid (ESP),180,47,2
8,MF,ACUNA Marcos,Marcos Javier,ACUÑA,ACUÑA,28-10-1991,Sevilla FC (ESP),172,46,0
9,FW,ALVAREZ Julian,Julian,ALVAREZ,J. ALVAREZ,31-01-2000,Manchester City FC (ENG),170,15,4
10,FW,MESSI Lionel,Lionel Andres,MESSI,MESSI,24-06-1987,Paris Saint-Germain FC (FRA),170,168,93
11,FW,DI MARIA Angel,Angel Fabian,DI MARIA,DI MARIA,14-02-1988,Juventus FC (ITA),178,127,27
12,GK,RULLI Geronimo,Geronimo,RULLI,RULLI,20-05-1992,Villarreal CF (ESP),189,4,0
13,DF,ROMERO Cristian,Cristian Gabriel,ROMERO,ROMERO,27-04-1998,Tottenham Hotspur FC (ENG),185,15,1
14,MF,PALACIOS Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,05-10-1998,Bayer 04 Leverkusen (GER),177,21,0
15,FW,CORREA Angel,Angel Martin,CORREA,A. CORREA,09-03-1995,CA Atlético Madrid (ESP),174,22,3
16,MF,ALMADA Thiago,Thiago Ezequiel,ALMADA,ALMADA,26-04-2001,Atlanta United FC (USA),171,2,0
17,MF,GOMEZ Alejandro,Alejandro Dario,GÓMEZ,GÓMEZ,15-02-1988,Sevilla FC (ESP),167,16,3
18,MF,RODRIGUEZ Guido,Guido,RODRIGUEZ,G. RODRIGUEZ,12-04-1994,Real Betis (ESP),186,27,1
19,DF,OTAMENDI Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,12-02-1988,SL Benfica (POR),183,96,4
20,MF,MAC ALLISTER Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,24-12-1998,Brighton & Hove Albion FC (ENG),176,10,1
21,FW,DYBALA Paulo,Paulo Exequiel,DYBALA,DYBALA,15-11-1993,AS Roma (ITA),177,34,3
22,FW,MARTINEZ Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTÍNEZ,22-08-1997,FC Internazionale (ITA),175,43,21
23,GK,MARTINEZ Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTÍNEZ,02-09-1992,Aston Villa FC (ENG),195,22,0
24,MF,FERNANDEZ Enzo,Enzo Jeremías,FERNÁNDEZ,E. FERNÁNDEZ,17-01-2001,SL Benfica (POR),178,6,1
25,DF,MARTINEZ Lisandro,Lisandro,MARTÍNEZ,MARTÍNEZ,18-01-1998,Manchester United FC (ENG),175,12,0
26,DF,MOLINA Nahuel,Nahuel,MOLINA LUCERO,MOLINA,06-04-1998,CA Atlético Madrid (ESP),178,23,0
