#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,RYAN Mathew,Mathew David,RYAN,RYAN,08-04-1992,FC København (DEN),184,78,0
2,DF,DEGENEK Milos,Milos,DEGENEK,DEGENEK,28-04-1994,Columbus Crew SC (USA),187,41,1
3,DF,ATKINSON Nathaniel,Nathaniel Caleb,ATKINSON,ATKINSON,13-06-1999,Heart Of Midlothian FC (SCO),181,6,0
4,DF,ROWLES Kye,Kye Francis,ROWLES,ROWLES,24-06-1998,Heart Of Midlothian FC (SCO),185,6,0
5,DF,KARACIC Fran,Fran,KARACIC,KARACIC,12-05-1996,Brescia Calcio (ITA),181,12,1
6,FW,TILIO Marco,Marco,TILIO,TILIO,23-08-2001,Melbourne City FC (AUS),170,5,0
7,FW,LECKIE Mathew,Mathew Allan,LECKIE,LECKIE,04-02-1991,Melbourne City FC (AUS),181,76,14
8,DF,WRIGHT Bailey,Bailey Colin,WRIGHT,WRIGHT,28-07-1992,Sunderland AFC (ENG),184,28,2
9,FW,MACLAREN Jamie,Jamie,MACLAREN,MACLAREN,29-07-1993,Melbourne City FC (AUS),179,28,8
10,MF,HRUSTIC Ajdin,Ajdin,HRUSTIC,HRUSTIC,05-07-1996,Hellas Verona FC (ITA),180,22,3
11,FW,MABIL Awer,Awer Bul,MABIL,MABIL,15-09-1995,Cádiz CF (ESP),179,31,8
12,GK,REDMAYNE Andrew,Andrew James,REDMAYNE,REDMAYNE,13-01-1989,Sydney FC (AUS),194,4,0
13,MF,MOOY Aaron,Aaron Frank,MOOY,MOOY,15-09-1990,Celtic FC (SCO),174,56,7
14,MF,McGREE Riley,Riley Patrick,MCGREE,MCGREE,02-11-1998,Middlesbrough FC (ENG),178,14,1
15,FW,DUKE Mitchell,Mitchell Thomas,DUKE,DUKE,18-01-1991,Fagiano Okayama (JPN),182,24,9
16,DF,BEHICH Aziz,Aziz,BEHICH,BEHICH,16-12-1990,Dundee United FC (SCO),170,56,2
17,MF,DEVLIN Cameron,Cameron Peter,DEVLIN,DEVLIN,07-06-1998,Heart Of Midlothian FC (SCO),171,1,0
18,GK,VUKOVIC Danny,Daniel,VUKOVIC,VUKOVIC,27-03-1985,Central Coast Mariners FC (AUS),187,4,0
19,DF,SOUTTAR Harry,Harry James,SOUTTAR,SOUTTAR,22-10-1998,Stoke City FC (ENG),198,13,6
20,DF,DENG Thomas,Thomas Jok,DENG,DENG,20-03-1997,Albirex Niigata (JPN),178,2,0
21,FW,KUOL Garang,Garang,MAWIEN KUOL,KUOL,15-09-2004,Central Coast Mariners FC (AUS),175,2,0
22,MF,IRVINE Jackson,Jackson Alexander,IRVINE,IRVINE,07-03-1993,FC St. Pauli (GER),189,52,7
23,FW,GOODWIN Craig,Craig Alexander,GOODWIN,GOODWIN,16-12-1991,Adelaide United FC (AUS),183,13,2
24,DF,KING Joel,Joel Bruce,KING,KING,30-10-2000,Odense BK (DEN),179,4,0
25,FW,CUMMINGS Jason,Jason Steven,CUMMINGS,CUMMINGS,01-08-1995,Central Coast Mariners FC (AUS),178,2,1
26,MF,BACCUS Keanu,Keanu Kole,BACCUS,BACCUS,07-06-1998,St Mirren FC (SCO),178,4,0
