#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,COURTOIS Thibaut,Thibaut Nicolas M.,COURTOIS,COURTOIS,11-05-1992,Real Madrid CF (ESP),199,100,0
2,DF,ALDERWEIRELD Toby,Toby Albertine M.,ALDERWEIRELD,ALDERWEIRELD,02-03-1989,Royal Antwerp FC (BEL),186,127,5
3,DF,THEATE Arthur,Arthur Nicolas R.,THEATE,THEATE,25-05-2000,Stade Rennais FC (FRA),185,4,0
4,DF,FAES Wout,Wout Felix L.,FAES,FAES,03-04-1998,Leicester City FC (ENG),187,1,0
5,DF,VERTONGHEN Jan,Jan Bert L.,VERTONGHEN,VERTONGHEN,24-04-1987,RSC Anderlecht (BEL),189,145,9
6,MF,WITSEL Axel,Axel Laurent A.,WITSEL,WITSEL,12-01-1989,CA Atlético Madrid (ESP),186,130,12
7,MF,DE BRUYNE Kevin,Kevin,DE BRUYNE,DE BRUYNE,28-06-1991,Manchester City FC (ENG),181,97,25
8,MF,TIELEMANS Youri,Youri Marion A.,TIELEMANS,TIELEMANS,07-05-1997,Leicester City FC (ENG),176,58,5
9,FW,LUKAKU Romelu,Romelu,LUKAKU BOLINGOLI,R. LUKAKU,13-05-1993,FC Internazionale (ITA),190,104,68
10,FW,HAZARD Eden,Eden Michael W.,HAZARD,E. HAZARD,07-01-1991,Real Madrid CF (ESP),173,126,33
11,FW,CARRASCO Yannick,Yannick,FERREIRA CARRASCO,CARRASCO,04-09-1993,CA Atlético Madrid (ESP),180,62,8
12,GK,MIGNOLET Simon,Simon Luc M.,MIGNOLET,MIGNOLET,06-03-1988,Club Brugge (BEL),193,35,0
13,GK,CASTEELS Koen,Koen,CASTEELS,CASTEELS,25-06-1992,VfL Wolfsburg (GER),197,4,0
14,FW,MERTENS Dries,Dries,MERTENS,MERTENS,06-05-1987,Galatasaray SK (TUR),169,109,21
15,MF,MEUNIER Thomas,Thomas Andre A.,MEUNIER,MEUNIER,12-09-1991,Borussia Dortmund (GER),190,62,8
16,MF,HAZARD Thorgan,Thorgan Ganael F.,HAZARD,T. HAZARD,29-03-1993,Borussia Dortmund (GER),174,47,9
17,FW,TROSSARD Leandro,Leandro,TROSSARD,TROSSARD,04-12-1994,Brighton & Hove Albion FC (ENG),172,24,5
18,MF,ONANA Amadou,Amadou Ba Z.,MVOM ONANA,ONANA,16-08-2001,Everton FC (ENG),192,4,0
19,DF,DENDONCKER Leander,Leander,DENDONCKER,DENDONCKER,15-04-1995,Aston Villa FC (ENG),188,31,1
20,MF,VANAKEN Hans,Hans,VANAKEN,VANAKEN,24-08-1992,Club Brugge (BEL),195,23,5
21,MF,CASTAGNE Timothy,Timothy,CASTAGNE,CASTAGNE,05-12-1995,Leicester City FC (ENG),185,29,2
22,FW,DE KETELAERE Charles,Charles Marc S.,DE KETELAERE,DE KETELAERE,10-03-2001,AC Milan (ITA),192,11,1
23,FW,BATSHUAYI Michy,Michy,BATSHUAYI-ATUNGA,BATSHUAYI,02-10-1993,Fenerbahce SK (TUR),185,50,27
24,FW,OPENDA Lois,Ikoma-Loïs,OPENDA,OPENDA,16-02-2000,RC Lens (FRA),175,6,2
25,FW,DOKU Jeremy,Jeremy Baffour,DOKU,DOKU,27-05-2002,Stade Rennais FC (FRA),173,12,2
26,DF,DEBAST Zeno,Zeno Koen,DEBAST,DEBAST,24-10-2003,RSC Anderlecht (BEL),189,3,0
