#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,ALISSON,Álisson Ramsés,BECKER,A. BECKER,02-10-1992,Liverpool FC (ENG),193,59,0
2,DF,DANILO,Danilo Luiz,DA SILVA,DANILO,15-07-1991,Juventus FC (ITA),184,47,1
3,DF,THIAGO SILVA,Thiago,EMILIANO DA SILVA,T. SILVA,22-09-1984,Chelsea FC (ENG),183,111,7
4,DF,MARQUINHOS,Marcos,AOAS CORREA,MARQUINHOS,14-05-1994,Paris Saint-Germain FC (FRA),183,74,5
5,MF,CASEMIRO,Carlos Henrique,CASIMIRO,CASEMIRO,23-02-1992,Manchester United FC (ENG),185,67,6
6,DF,ALEX SANDRO,Alex Sandro,LOBO SILVA,ALEX SANDRO,26-01-1991,Juventus FC (ITA),180,39,2
7,MF,LUCAS PAQUETA,Lucas,TOLENTINO COELHO DE LIMA,L. PAQUETÁ,27-08-1997,West Ham United FC (ENG),180,37,7
8,MF,FRED,Frederico,RODRIGUES DE PAULA SANTOS,FRED,05-03-1993,Manchester United FC (ENG),169,31,0
9,FW,RICHARLISON,Richarlison,DE ANDRADE,RICHARLISON,10-05-1997,Tottenham Hotspur FC (ENG),184,40,19
10,FW,NEYMAR,Neymar,DA SILVA SANTOS JÚNIOR,NEYMAR JR,05-02-1992,Paris Saint-Germain FC (FRA),175,122,75
11,FW,RAPHINHA,Raphael,DIAS BELLOLI,RAPHINHA,14-12-1996,FC Barcelona (ESP),176,14,5
12,GK,WEVERTON,Weverton,PEREIRA DA SILVA,WEVERTON,13-12-1987,SE Palmeiras (BRA),189,8,0
13,DF,DANI ALVES,Daniel,ALVES DA SILVA,DANI ALVES,06-05-1983,Pumas UNAM (MEX),172,125,8
14,DF,EDER MILITAO,Éder Gabriel,MILITÃO,E. MILITÃO,18-01-1998,Real Madrid CF (ESP),186,25,1
15,MF,FABINHO,Fabio Henrique,TAVARES,FABINHO,23-10-1993,Liverpool FC (ENG),188,29,0
16,DF,ALEX TELLES,Alex,NICOLAO TELLES,ALEX TELLES,15-12-1992,Sevilla FC (ESP),181,10,0
17,MF,BRUNO GUIMARAES,Bruno,GUIMARÃES RODRIGUEZ MOURA,BRUNO G.,16-11-1997,Newcastle United FC (ENG),182,10,1
18,FW,GABRIEL JESUS,Gabriel Fernando,DE JESUS,G. JESUS,03-04-1997,Arsenal FC (ENG),175,59,19
19,FW,ANTONY,Antony Matheus,DOS SANTOS,ANTONY,24-02-2000,Manchester United FC (ENG),172,14,2
20,FW,VINICIUS JUNIOR,Vinicius José,PAIXÃO DE OLIVEIRA JÚNIOR,VINI JR,12-07-2000,Real Madrid CF (ESP),176,18,1
21,FW,RODRYGO,Rodrygo,SILVA DE GOES,RODRYGO,09-01-2001,Real Madrid CF (ESP),174,10,1
22,MF,EVERTON RIBEIRO,Everton Augusto,DE BARROS RIBEIRO,E. RIBEIRO,10-04-1989,CR Flamengo (BRA),174,22,3
23,GK,EDERSON,Ederson,SANTANA DE MORAES,EDERSON,17-08-1993,Manchester City FC (ENG),188,19,0
24,DF,BREMER,Gleison Bremer,SILVA NASCIMENTO,BREMER,18-03-1997,Juventus FC (ITA),188,2,0
25,FW,PEDRO,Pedro Guilherme,ABREU DOS SANTOS,PEDRO,20-06-1997,CR Flamengo (BRA),185,3,1
26,FW,GABRIEL MARTINELLI,Gabriel,TEODORO MARTINELLI SILVA,MARTINELLI,18-06-2001,Arsenal FC (ENG),178,5,0
