#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,NGAPANDOUETNBU Simon,Simon Brady,NGAPANDOUETNBU,N. SIMON,12-04-2003,Olympique Marseille (FRA),186,0,0
2,DF,NGOM MBEKELI Jerome,Jerome,NGOM MBEKELI,NGOM,30-09-1998,Colombe Sportive (CMR),174,3,0
3,DF,NKOULOU Nicolas,Nicolas Julio,NKOULOU NDOUBENA,NKOULOU,27-03-1990,Aris Thessaloniki FC (GRE),185,80,2
4,DF,WOOH Christopher,Christopher Maurice,WOOH,C. WOOH,18-09-2001,Stade Rennais FC (FRA),191,4,0
5,MF,ONDOUA Gael,Gael,BELLA ONDOUA,ONDOUA,04-11-1995,Hannover 96 (GER),185,6,0
6,FW,MOUMI NGAMALEU Nicolas,Nicolas Brice,MOUMI NGAMALEU,NGAMALEU,09-07-1994,FC Dynamo Moscow (RUS),181,44,4
7,MF,NKOUDOU Georges-Kevin,Georges Kevin,NKOUDOU MBIDA,NKOUDOU,13-02-1995,Besiktas JK (TUR),172,4,0
8,MF,ZAMBO ANGUISSA Andre-Frank,Andre Frank,ZAMBO ANGUISSA,ANGUISSA,16-11-1995,SSC Napoli (ITA),184,46,5
9,FW,NSAME Jean-Pierre,Jean Pierre Junior,NSAME,NSAME,01-05-1993,BSC Young Boys (SUI),188,4,0
10,FW,ABOUBAKAR Vincent,Vincent,ABOUBAKAR,ABOUBAKAR,22-01-1992,Al Nassr FC (KSA),176,94,35
11,FW,BASSOGOG Christian,Christian,MOUGANG BASSOGOG,BASSOGOG,18-10-1995,Shanghai Shenhua FC (CHN),178,44,7
12,FW,TOKO EKAMBI Karl,Karl Louis-Brillant,TOKO EKAMBI,TOKO EKAMBI,14-09-1992,Olympique Lyon (FRA),183,54,12
13,FW,CHOUPO-MOTING Eric Maxim,Eric Maxim,CHOUPO-MOTING,CHOUPO-MOTING,23-03-1989,FC Bayern München (GER),191,72,20
14,MF,OUM GOUET Samuel,Samuel Yves,OUM GOUET,OUM,14-12-1997,KV Mechelen (BEL),185,24,0
15,MF,KUNDE Pierre,Pierre,KUNDE MALONG,KUNDE,26-07-1995,Olympiacos Piraeus FC (GRE),180,34,1
16,GK,EPASSY Devis,Devis Rogers,EPASSY MBOKA,EPASSY,02-02-1993,Abha Club (KSA),187,7,0
17,DF,MBAIZO Olivier,Olivier,MBAISSIDARA MBAIZO,MBAIZO,15-08-1997,Philadelphia Union (USA),178,11,0
18,MF,HONGLA Martin,Martin,HONGLA YMA II,HONGLA,16-03-1998,Hellas Verona FC (ITA),182,21,0
19,DF,FAI Collins,Ngoran Suiru,FAI COLLINS,FAÏ,13-08-1992,Al Tai FC (KSA),165,55,0
20,FW,MBEUMO Bryan,Bryan Tetsadong Marceau,MBEUMO,MBEUMO,07-08-1999,Brentford FC (ENG),173,6,0
21,DF,CASTELLETTO Jean-Charles,Jean-Charles Victor,CASTELLETTO,CASTELLETTO,26-01-1995,FC Nantes (FRA),186,16,1
22,MF,NTCHAM Olivier,Jules Olivier,NTCHAM,NTCHAM,09-02-1996,Swansea City AFC (WAL),180,4,0
23,GK,ONANA Andre,Andre,ONANA ONANA,ONANA,02-04-1996,FC Internazionale (ITA),190,34,0
24,DF,EBOSSE Enzo,Enzo Jacques Rodolphe,EBOSSE,EBOSSE,11-03-1999,Udinese (ITA),185,3,0
25,DF,TOLO Nouhou,Nouhou,TOLO,NOUHOU,23-06-1997,Seattle Sounders FC (USA),178,21,0
26,MF,MAROU Souaibou,Souaibou,MAROU,SOUAIBOU,03-12-2000,Coton Sport FC (CMR),180,3,1
