#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,ST. CLAIR Dayne,Dayne Tristan,ST. CLAIR,ST. CLAIR,09-05-1997,Minnesota United FC (USA),191,2,0
2,DF,JOHNSTON Alistair,Alistair William,JOHNSTON,JOHNSTON,08-10-1998,CF Montréal (CAN),180,32,1
3,DF,ADEKUGBE Sam,Samuel Ayomide,ADEKUGBE,ADEKUGBE,16-01-1995,Hatayspor (TUR),175,36,1
4,DF,MILLER Kamal,Kamal Anthony,MILLER,MILLER,16-05-1997,CF Montréal (CAN),183,31,0
5,DF,VITORIA Steven,Steven De Sousa,DE SOUSA VITÓRIA,VITÓRIA,11-01-1987,GD Chaves (POR),195,36,4
6,MF,PIETTE Samuel,Samuel,PIETTE,PIETTE,12-11-1994,CF Montréal (CAN),171,61,0
7,MF,EUSTAQUIO Stephen,Stephen,EUSTÁQUIO,EUSTAQUIO,21-12-1996,FC Porto (POR),178,27,2
8,MF,FRASER Liam,Liam Scott,FRASER,FRASER,13-02-1998,KMSR Deinze (BEL),185,14,0
9,FW,CAVALLINI Lucas,Lucas Daniel,CAVALLINI,CAVALLINI,28-12-1992,Vancouver Whitecaps FC (CAN),180,31,16
10,MF,HOILETT Junior,David Jr Wayne,HOILETT,HOILETT,05-06-1990,Reading FC (ENG),174,49,12
11,FW,BUCHANAN Tajon,Tajon Trevor,BUCHANAN,BUCHANAN,08-02-1999,Club Brugge (BEL),183,28,4
12,FW,UGBO Ike,Ike Dominique,UGBO,UGBO,21-09-1998,ES Troyes (FRA),185,8,0
13,MF,HUTCHINSON Atiba,Atiba,HUTCHINSON,HUTCHINSON,08-02-1983,Besiktas JK (TUR),183,99,9
14,MF,KAYE Mark-Anthony,Mark-Anthony,KAYE,KAYE,02-12-1994,Toronto FC (CAN),185,36,2
15,MF,KONE Ismael,Ismael Kenneth Jordan,KONE,KONÉ,16-06-2002,CF Montréal (CAN),188,9,1
16,GK,PANTEMIS James,James,PANTEMIS,PANTEMIS,21-02-1997,CF Montréal (CAN),185,0,0
17,FW,LARIN Cyle,Cyle Christopher,LARIN,LARIN,17-04-1995,Club Brugge (BEL),188,56,24
18,GK,BORJAN Milan,Milan,BORJAN,BORJAN,23-10-1987,FK Crvena Zvezda (SRB),195,66,0
19,FW,DAVIES Alphonso,Alphonso Boyle,DAVIES,DAVIES,02-11-2000,FC Bayern München (GER),183,35,11
20,FW,DAVID Jonathan,Jonathan Christian,DAVID,J. DAVID,14-01-2000,Lille OSC (FRA),175,36,19
21,MF,OSORIO Jonathan,Jonathan,OSORIO,OSORIO,12-06-1992,Toronto FC (CAN),175,56,6
22,DF,LARYEA Richie,Richmond Mamah,LARYEA,LARYEA,07-01-1995,Toronto FC (CAN),175,36,1
23,MF,MILLAR Liam,Liam Alan,MILLAR,MILLAR,27-09-1999,FC Basel (SUI),176,16,0
24,MF,WOTHERSPOON David,David Wallace,WOTHERSPOON,WOTHERSPOON,16-01-1990,St Johnstone FC (SCO),172,11,1
25,DF,CORNELIUS Derek,Derek Austin,CORNELIUS,CORNELIUS,25-11-1997,Panetolikos FC (GRE),186,12,0
26,DF,WATERMAN Joel,Joel Robert,WATERMAN,WATERMAN,24-01-1996,CF Montréal (CAN),185,2,0
