#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,LIVAKOVIC Dominik,Dominik,LIVAKOVIĆ,LIVAKOVIĆ,09-01-1995,GNK Dinamo Zagreb (CRO),188,37,0
2,DF,STANISIC Josip,Josip,STANIŠIĆ,STANIŠIĆ,02-04-2000,FC Bayern München (GER),186,7,0
3,DF,BARISIC Borna,Borna,BARIŠIĆ,BARIŠIĆ,10-11-1992,Rangers FC (SCO),186,28,1
4,FW,PERISIC Ivan,Ivan,PERIŠIĆ,PERIŠIĆ,02-02-1989,Tottenham Hotspur FC (ENG),187,119,32
5,DF,ERLIC Martin,Martin,ERLIĆ,ERLIĆ,24-01-1998,US Sassuolo (ITA),192,4,0
6,DF,LOVREN Dejan,Dejan,LOVREN,LOVREN,05-07-1989,FC Zenit St. Petersburg (RUS),188,75,5
7,MF,MAJER Lovro,Lovro,MAJER,MAJER,17-01-1998,Stade Rennais FC (FRA),178,14,4
8,MF,KOVACIC Mateo,Mateo,KOVAČIĆ,KOVAČIĆ,06-05-1994,Chelsea FC (ENG),177,87,3
9,FW,KRAMARIC Andrej,Andrej,KRAMARIĆ,KRAMARIĆ,19-06-1991,TSG 1899 Hoffenheim (GER),177,77,22
10,MF,MODRIC Luka,Luka,MODRIĆ,MODRIĆ,09-09-1985,Real Madrid CF (ESP),172,158,23
11,MF,BROZOVIC Marcelo,Marcelo,BROZOVIĆ,BROZOVIĆ,16-11-1992,FC Internazionale (ITA),181,80,7
12,GK,GRBIC Ivo,Ivo,GRBIĆ,GRBIĆ,18-01-1996,CA Atlético Madrid (ESP),195,2,0
13,MF,VLASIC Nikola,Nikola,VLAŠIĆ,VLAŠIĆ,04-10-1997,Torino FC (ITA),178,44,7
14,FW,LIVAJA Marko,Marko,LIVAJA,LIVAJA,26-08-1993,HNK Hajduk Split (CRO),182,17,4
15,MF,PASALIC Mario,Mario,PAŠALIĆ,PAŠALIĆ,09-02-1995,Atalanta Bergamo (ITA),189,46,7
16,FW,PETKOVIC Bruno,Bruno,PETKOVIĆ,PETKOVIĆ,16-09-1994,GNK Dinamo Zagreb (CRO),193,25,6
17,FW,BUDIMIR Ante,Ante,BUDIMIR,BUDIMIR,22-07-1991,CA Osasuna (ESP),190,15,1
18,FW,ORSIC Mislav,Mislav,ORŠIĆ,ORŠIĆ,29-12-1992,GNK Dinamo Zagreb (CRO),179,23,1
19,DF,SOSA Borna,Borna,SOSA,SOSA,21-01-1998,VfB Stuttgart (GER),187,11,1
20,DF,GVARDIOL Josko,Joško,GVARDIOL,GVARDIOL,23-01-2002,RB Leipzig (GER),185,15,1
21,DF,VIDA Domagoj,Domagoj,VIDA,VIDA,29-04-1989,AEK Athens (GRE),184,100,4
22,DF,JURANOVIC Josip,Josip,JURANOVIĆ,JURANOVIĆ,16-08-1995,Celtic FC (SCO),173,24,0
23,GK,IVUSIC Ivica,Ivica,IVUŠIĆ,IVUŠIĆ,01-02-1995,NK Osijek (CRO),195,5,0
24,DF,SUTALO Josip,Josip,ŠUTALO,ŠUTALO,28-02-2000,GNK Dinamo Zagreb (CRO),190,3,0
25,MF,SUCIC Luka,Luka,SUČIĆ,SUČIĆ,08-09-2002,FC Red Bull Salzburg (AUT),185,4,0
26,MF,JAKIC Kristijan,Kristijan,JAKIĆ,JAKIĆ,14-05-1997,Eintracht Frankfurt (GER),181,4,0
