#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,GALINDEZ Hernan,Hernan Ismael,GALINDEZ,GALINDEZ,30-03-1987,SD Aucas (ECU),189,15,0
2,DF,TORRES Felix,Felix Eduardo,TORRES CAICEDO,TORRES,11-01-1997,Club Santos Laguna (MEX),187,20,2
3,DF,HINCAPIE Piero,Piero Martin,HINCAPIE REYNA,HINCAPIE,09-01-2002,Bayer 04 Leverkusen (GER),183,24,1
4,DF,ARBOLEDA Robert,Robert Abel,ARBOLEDA ESCOBAR,ARBOLEDA,22-10-1991,Sao Paulo FC (BRA),189,33,2
5,MF,CIFUENTES Jose,Jose Adoni,CIFUENTES CHARCOPA,CIFUENTES,12-03-1999,Los Angeles FC (USA),178,13,0
6,DF,PACHO William,William Joel,PACHO TENORIO,PACHO,16-10-2001,Royal Antwerp FC (BEL),188,0,0
7,DF,ESTUPINAN Pervis,Pervis Josue,ESTUPIÑÁN TENORIO,ESTUPIÑAN,21-01-1998,Brighton & Hove Albion FC (ENG),175,31,3
8,MF,GRUEZO Carlos,Carlos Armando,GRUEZO ARVOLEDA,GRUEZO,19-04-1995,FC Augsburg (GER),172,47,1
9,MF,PRECIADO Ayrton,Eduar Ayrton,PRECIADO GARCIA,A. PRECIADO,17-07-1994,Club Santos Laguna (MEX),181,27,3
10,MF,IBARRA Romario,Romario Andres,IBARRA MINA,IBARRA,24-09-1994,CF Pachuca (MEX),175,27,3
11,FW,ESTRADA Michael,Michael Steveen,ESTRADA MARTÍNEZ,ESTRADA,07-04-1996,Cruz Azul (MEX),187,39,8
12,GK,RAMIREZ Moises,Wellington Moises,RAMÍREZ PRECIADO,RAMIREZ,09-09-2000,Independiente Del Valle (ECU),185,2,0
13,FW,VALENCIA Enner,Enner Remberto,VALENCIA LASTRA,E. VALENCIA,04-11-1989,Fenerbahce SK (TUR),177,77,38
14,DF,ARREAGA Xavier,Xavier Ricardo,ARREAGA BERMELLO,ARREAGA,28-09-1994,Seattle Sounders FC (USA),184,18,1
15,MF,MENA Angel,Angel Israel,MENA DELGADO,MENA,21-01-1988,Club León (MEX),168,46,7
16,MF,SARMIENTO Jeremy,Jeremy Leonel,SARMIENTO MORANTE,SARMIENTO,16-06-2002,Brighton & Hove Albion FC (ENG),178,12,0
17,DF,PRECIADO Angelo,Angelo Smit,PRECIADO QUIÑONEZ,PRECIADO,18-02-1998,KRC Genk (BEL),174,28,0
18,DF,PALACIOS Diego,Diego Jose,PALACIOS ESPINOZA,PALACIOS,12-07-1999,Los Angeles FC (USA),169,12,0
19,MF,PLATA Gonzalo,Gonzalo Jordy,PLATA JIMENEZ,PLATA,01-11-2000,Real Valladolid CF (ESP),178,33,5
20,MF,MENDEZ Jhegson,Jhegson Sebastián,MÉNDEZ CARABALÍ,MENDEZ,26-04-1997,Los Angeles FC (USA),175,34,0
21,MF,FRANCO Alan,Alan Steven,FRANCO PALMA,FRANCO,21-08-1998,CA Talleres (ARG),175,27,1
22,GK,DOMINGUEZ Alexander,Alexander,DOMINGUEZ CARABALI,DOMINGUEZ,05-06-1987,LDU Quito (ECU),195,68,0
23,MF,CAICEDO Moises,Moises Isaac,CAICEDO COROZO,M. CAICEDO,02-11-2001,Brighton & Hove Albion FC (ENG),178,28,3
24,FW,REASCO Djorkaeff,Djorkaeff Neicer,REASCO GONZALEZ,REASCO,18-01-1999,CA Newells Old Boys (ARG),172,5,0
25,DF,POROZO Jackson,Jackson Gabriel,POROZO VERNAZA,POROZO,04-08-2000,ES Troyes (FRA),191,7,0
26,FW,RODRIGUEZ Kevin,Kevin Jose,RODRIGUEZ CORTEZ,RODRIGUEZ,04-03-2000,Imbabura SC (ECU),190,3,0
