#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,LLORIS Hugo,Hugo Hadrien Dominique,LLORIS,LLORIS,26-12-1986,Tottenham Hotspur FC (ENG),188,141,0
2,DF,PAVARD Benjamin,Benjamin Jaques Marcel,PAVARD,PAVARD,28-03-1996,FC Bayern München (GER),186,47,2
3,DF,DISASI Axel,Axel Wilson Arthur,DISASI MHAKINIS BELHO,DISASI,11-03-1998,AS Monaco (FRA),190,1,0
4,DF,VARANE Raphael,Raphaël Xavier,VARANE,VARANE,25-04-1993,Manchester United FC (ENG),191,89,5
5,DF,KOUNDE Jules,Jules Olivier,KOUNDE,KOUNDE,12-11-1998,FC Barcelona (ESP),178,14,0
6,MF,GUENDOUZI Matteo,Mattéo Elias Kenzo,GUENDOUZI OLIE,GUENDOUZI,14-04-1999,Olympique Marseille (FRA),184,7,1
7,FW,GRIEZMANN Antoine,Antoine,GRIEZMANN,GRIEZMANN,21-03-1991,CA Atlético Madrid (ESP),173,113,42
8,MF,TCHOUAMENI Aurelien,Aurélien Djani,TCHOUAMENI,TCHOUAMENI,27-01-2000,Real Madrid CF (ESP),187,17,1
9,FW,GIROUD Olivier,Olivier Jonathan,GIROUD,GIROUD,30-09-1986,AC Milan (ITA),193,116,51
10,FW,MBAPPE Kylian,Kylian,MBAPPE LOTTIN,MBAPPE,20-12-1998,Paris Saint-Germain FC (FRA),178,62,31
11,FW,DEMBELE Ousmane,Masour Ousmane,DEMBELE,DEMBELE,15-05-1997,FC Barcelona (ESP),178,31,4
12,FW,KOLO MUANI Randal,Randal,KOLO MUANI,KOLO MUANI,05-12-1998,Eintracht Frankfurt (GER),187,3,0
13,DF,FOFANA Youssouf,Youssouf,FOFANA,FOFANA,10-01-1999,AS Monaco (FRA),178,5,0
14,MF,RABIOT Adrien,Adrien Thibault Marie,RABIOT,RABIOT,03-04-1995,Juventus FC (ITA),191,32,3
15,MF,VERETOUT Jordan,Jordan Marcel Gilbert,VERETOUT,VERETOUT,01-03-1993,Olympique Marseille (FRA),177,6,0
16,GK,MANDANDA Steve,Steve,MANDANDA MPIDI,MANDANDA,28-03-1985,Stade Rennais FC (FRA),187,35,0
17,DF,SALIBA William,William Alain André Gabriel,SALIBA,SALIBA,24-03-2001,Arsenal FC (ENG),192,8,0
18,DF,UPAMECANO Dayot,Dayotchanculle Oswald,UPAMECANO,UPAMECANO,27-10-1998,FC Bayern München (GER),186,9,1
19,FW,BENZEMA Karim,Karim Mostafa,BENZEMA,BENZEMA,19-12-1987,Real Madrid CF (ESP),187,97,37
20,FW,COMAN Kingsley,Kingsley Junior,COMAN,COMAN,13-06-1996,FC Bayern München (GER),180,43,5
21,DF,HERNANDEZ Lucas,Lucas Francois Bernard,HERNANDEZ,L. HERNANDEZ,14-02-1996,FC Bayern München (GER),184,33,0
22,DF,HERNANDEZ Theo,Théo Bernard François,HERNANDEZ,T. HERNANDEZ,06-10-1997,AC Milan (ITA),184,9,1
23,GK,AREOLA Alphonse,Alphonse Francis,AREOLA,AREOLA,27-02-1993,West Ham United FC (ENG),195,5,0
24,DF,KONATE Ibrahima,Ibrahima,KONATÉ,KONATE,25-05-1999,Liverpool FC (ENG),194,5,0
25,MF,CAMAVINGA Eduardo,Eduardo Celmi,CAMAVINGA,CAMAVINGA,10-11-2002,Real Madrid CF (ESP),182,5,1
26,FW,THURAM Marcus,Marcus Lilian,THURAM-ULIEN,THURAM,06-08-1997,VfL Borussia Mönchengladbach (GER),192,4,0
