#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,TALAVERA Alfredo,Alfredo,TALAVERA DIAZ,A. TALAVERA,18-09-1982,FC Juárez (MEX),188,40,0
2,DF,ARAUJO Nestor,Nestor Alejandro,ARAUJO RAZO,N. ARAUJO,29-08-1991,Club América (MEX),187,64,3
3,DF,MONTES Cesar,Cesar Jasib,MONTES CASTRO,C. MONTES,24-02-1997,CF Monterrey (MEX),191,33,1
4,DF,ALVAREZ Edson,Edson Omar,ALVAREZ VELAZQUEZ,E. ALVAREZ,24-10-1997,AFC Ajax (NED),180,60,2
5,DF,VASQUEZ Johan,Johan Felipe,VASQUEZ IBARRA,J. VASQUEZ,22-10-1998,US Cremonese (ITA),182,7,0
6,DF,ARTEAGA Gerardo,Gerardo Daniel,ARTEAGA ZAMORA,G. ARTEAGA,07-09-1998,KRC Genk (BEL),175,17,1
7,MF,ROMO Luis,Luis Francisco,ROMO BARRON,L. ROMO,05-06-1995,CF Monterrey (MEX),183,27,1
8,MF,RODRIGUEZ Carlos,Carlos Alberto,RODRIGUEZ GOMEZ,C. RODRÍGUEZ,03-01-1997,Cruz Azul (MEX),170,38,0
9,FW,JIMENEZ Raul,Raul Alonso,JIMENEZ RODRIGUEZ,RAÚL,05-05-1991,Wolverhampton Wanderers FC (ENG),188,98,28
10,FW,VEGA Alexis,Ernesto Alexis,VEGA ROJAS,A. VEGA,25-11-1997,CD Guadalajara (MEX),175,25,5
11,FW,FUNES MORI Rogelio,Rogelio Gabriel,FUNES MORI,R. FUNES MORI,05-03-1991,CF Monterrey (MEX),186,17,6
12,GK,COTA Rodolfo,Rodolfo,COTA ROBLES,R. COTA,03-07-1987,Club León (MEX),188,8,0
13,GK,OCHOA Guillermo,Francisco Guillermo,OCHOA MAGAÑA,G. OCHOA,13-07-1985,Club América (MEX),185,134,0
14,MF,GUTIERREZ Erick,Erick Gabriel,GUTIERREZ GALAVIZ,E. GUTIÉRREZ,15-06-1995,PSV Eindhoven (NED),176,35,1
15,DF,MORENO Hector,Hector Alfredo,MORENO HERRERA,H. MORENO,17-01-1988,CF Monterrey (MEX),182,131,6
16,MF,HERRERA Hector,Hector Miguel,HERRERA LÓPEZ,H. HERRERA,19-04-1990,Houston Dynamo (USA),180,104,10
17,FW,PINEDA Orbelin,Orbelin,PINEDA ALVARADO,O. PINEDA,24-03-1996,AEK Athens (GRE),169,51,6
18,MF,GUARDADO Andres,Jose Andres,GUARDADO HERNANDEZ,A. GUARDADO,28-09-1986,Real Betis (ESP),167,179,28
19,DF,SANCHEZ Jorge,Jorge Eduardo,SANCHEZ RAMOS,J. SÁNCHEZ,10-12-1997,AFC Ajax (NED),170,28,1
20,FW,MARTIN Henry,Henry Josue,MARTIN MEX,H. MARTÍN,18-11-1992,Club América (MEX),180,29,7
21,FW,ANTUNA Uriel,Carlos Uriel,ANTUNA ROMERO,U. ANTUNA,21-08-1997,Cruz Azul (MEX),167,39,9
22,FW,LOZANO Hirving,Hirving Rodrigo,LOZANO BAHENA,H. LOZANO,30-07-1995,SSC Napoli (ITA),176,63,16
23,DF,GALLARDO Jesus,Jesus Daniel,GALLARDO VASCONCELOS,J. GALLARDO,15-08-1994,CF Monterrey (MEX),174,81,1
24,MF,CHAVEZ Luis,Luis Gerardo,CHAVEZ MAGALLON,L. CHÁVEZ,15-01-1996,CF Pachuca (MEX),178,12,1
25,FW,ALVARADO Roberto,Roberto Carlos,ALVARADO HERNANDEZ,R. ALVARADO,07-09-1998,CD Guadalajara (MEX),176,33,4
26,DF,ALVAREZ Kevin,Kevin Nahin,ALVAREZ CAMPOS,K. ÁLVAREZ,15-01-1999,CF Pachuca (MEX),176,10,0
