#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,BOUNOU Yassine,Yassine,BOUNOU,BONO,05-04-1991,Sevilla FC (ESP),190,49,0
2,DF,HAKIMI Achraf,Achraf,HAKIMI,HAKIMI,04-11-1998,Paris Saint-Germain FC (FRA),181,57,8
3,DF,MAZRAOUI Noussair,Noussair,MAZRAOUI,MAZRAOUI,14-11-1997,FC Bayern München (GER),183,18,2
4,MF,AMRABAT Sofyan,Sofyan,AMRABAT,AMRABAT,21-08-1996,ACF Fiorentina (ITA),183,42,0
5,DF,AGUERD Nayef,Nayef,AGUERD,AGUERD,30-03-1996,West Ham United FC (ENG),190,29,1
6,DF,SAISS Romain,Ghanem,SAISS,SAISS,26-03-1990,Besiktas JK (TUR),190,69,2
7,MF,ZIYECH Hakim,Hakim,ZIYACH,ZIYECH,19-03-1993,Chelsea FC (ENG),181,46,19
8,MF,OUNAHI Azzedine,Azz-Eddine,OUNAHI,OUNAHI,19-04-2000,Angers SCO (FRA),182,13,2
9,FW,HAMDALLAH Abderrazak,Abderrazzaq,HAMED-ALLAH,HAMED ALLAH,17-12-1990,Al Ittihad FC (KSA),179,21,6
10,MF,ZAROURY Anass,Anass,ZAROURY,ZAROURY,07-11-2000,Burnley FC (ENG),176,1,0
11,FW,SABIRI Abdelhamid,Abdelhamid,SABIRI,SABIRI,28-11-1996,UC Sampdoria (ITA),186,5,1
12,GK,EL KAJOUI Munir,Monir,EL KAJOUI,EL KAJOUI,10-05-1989,Al Wehda FC (KSA),190,44,0
13,MF,CHAIR Ilias,Ilias,CHAIR,CHAIR,30-10-1997,Queens Park Rangers FC (ENG),164,11,1
14,MF,ABOUKHLAL Zakaria,Zakaria,ABOUKHLAL,ABOUKHLAL,18-02-2000,Toulouse FC (FRA),179,15,3
15,MF,AMALLAH Selim,Selim,AMALLAH,AMALLAH,15-11-1996,Standard Liège (BEL),186,27,4
16,FW,EZZALZOULI Abde,Abdessamad,EZZALZOULI,EZZALZOULI,17-12-2001,CA Osasuna (ESP),177,3,0
17,MF,BOUFAL Sofiane,Sofiane,BOUFAL,BOUFAL,17-09-1993,Angers SCO (FRA),170,35,6
18,DF,EL YAMIQ Jawad,Jawad,EL-YAMIQ,EL-YAMIQ,29-02-1992,Real Valladolid CF (ESP),193,23,3
19,FW,EN-NESYRI Youssef,Youssef,EN-NESYRI,EN-NESYRI,01-06-1997,Sevilla FC (ESP),188,53,16
20,DF,DARI Achraf,Achraf,DARI,DARI,06-05-1999,Stade Brest (FRA),190,4,0
21,FW,CHEDDIRA Walid,Walid,CHEDDIRA,CHEDDIRA,22-01-1998,SSC Bari (ITA),187,2,0
22,GK,TAGNAOUTI Ahmed Reda,Ahmed Reda,TAGNAOUTI,TAGNAOUTI,05-04-1996,Wydad Casablanca (MAR),186,3,0
23,MF,EL KHANNOUSS Bilal,Bilal,EL KHANNOUSS,EL KHANNOUSS,10-05-2004,KRC Genk (BEL),180,0,0
24,DF,BENOUN Badr,Badr,BENOUN,BENOUN,30-09-1993,Qatar SC (QAT),188,15,5
25,DF,ATTIAT-ALLAH Yahya,Yahya,ATTIAT-ALLAH EL IDRISSI,ATTIAT-ALLAH,02-03-1995,Wydad Casablanca (MAR),176,6,0
26,MF,JABRANE Yahya,Yahya,JABRANE,JABRANE,18-06-1991,Wydad Casablanca (MAR),183,19,2
