#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,PASVEER Remko,Remko Jurian,PASVEER,PASVEER,08-11-1983,AFC Ajax (NED),188,2,0
2,DF,TIMBER Jurrien,Jurriën David Norman,TIMBER,TIMBER,17-06-2001,AFC Ajax (NED),179,12,0
3,DF,DE LIGT Matthijs,Matthijs,DE LIGT,DE LIGT,12-08-1999,FC Bayern München (GER),187,39,2
4,DF,VAN DIJK Virgil,Virgil,VAN DIJK,VIRGIL,08-07-1991,Liverpool FC (ENG),195,52,6
5,DF,AKE Nathan,Nathan Benjamin,AKÉ,AKÉ,18-02-1995,Manchester City FC (ENG),180,32,3
6,DF,DE VRIJ Stefan,Stefan,DE VRIJ,DE VRIJ,05-02-1992,FC Internazionale (ITA),190,59,3
7,FW,BERGWIJN Steven,Steven Charles,BERGWIJN,BERGWIJN,08-10-1997,AFC Ajax (NED),175,26,7
8,FW,GAKPO Cody,Cody Mathès,GAKPO,GAKPO,07-05-1999,PSV Eindhoven (NED),193,12,6
9,FW,DE JONG Luuk,Luuk,DE JONG,L. DE JONG,27-08-1990,PSV Eindhoven (NED),188,38,8
10,FW,DEPAY Memphis,Memphis,DEPAY,MEMPHIS,13-02-1994,FC Barcelona (ESP),178,84,42
11,MF,BERGHUIS Steven,Steven,BERGHUIS,BERGHUIS,19-12-1991,AFC Ajax (NED),182,42,2
12,FW,LANG Noa,Noa Noëll,LANG,LANG,17-06-1999,Club Brugge (BEL),176,5,1
13,GK,BIJLOW Justin,Justin,BIJLOW,BIJLOW,22-01-1998,Feyenoord Rotterdam (NED),188,6,0
14,MF,KLAASSEN Davy,Davy,KLAASSEN,KLAASSEN,21-02-1993,AFC Ajax (NED),179,38,10
15,MF,DE ROON Marten,Marten Elco,DE ROON,DE ROON,29-03-1991,Atalanta Bergamo (ITA),186,33,0
16,DF,MALACIA Tyrell,Tyrell Johannes Chicco,MALACIA,MALACIA,17-08-1999,Manchester United FC (ENG),170,6,0
17,DF,BLIND Daley,Daley,BLIND,BLIND,09-03-1990,AFC Ajax (NED),180,97,2
18,FW,JANSSEN Vincent,Vincent Petrus Anna Sebastiaan,JANSSEN,JANSSEN,15-06-1994,Royal Antwerp FC (BEL),184,22,7
19,FW,WEGHORST Wout,Wout François Maria,WEGHORST,WEGHORST,07-08-1992,Besiktas JK (TUR),197,17,3
20,MF,KOOPMEINERS Teun,Teun,KOOPMEINERS,KOOPMEINERS,28-02-1998,Atalanta Bergamo (ITA),184,13,1
21,MF,DE JONG Frenkie,Frenkie,DE JONG,F. DE JONG,12-05-1997,FC Barcelona (ESP),181,48,2
22,DF,DUMFRIES Denzel,Denzel Justus Morris,DUMFRIES,DUMFRIES,18-04-1996,FC Internazionale (ITA),188,40,5
23,GK,NOPPERT Andries,Andries,NOPPERT,NOPPERT,07-04-1994,SC Heerenveen (NED),203,3,0
24,MF,TAYLOR Kenneth,Kenneth Ina Dorothea,TAYLOR,TAYLOR,16-05-2002,AFC Ajax (NED),182,3,0
25,MF,SIMONS Xavi,Xavi Quentin Shay,SIMONS,XAVI,21-04-2003,PSV Eindhoven (NED),179,0,0
26,DF,FRIMPONG Jeremie,Jeremie Agyekum,FRIMPONG,FRIMPONG,10-12-2000,Bayer 04 Leverkusen (GER),171,0,0
