#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,RUI PATRICIO,Rui Pedro,DOS SANTOS PATRÍCIO,RUI PATRÍCIO,15-02-1988,AS Roma (ITA),189,105,0
2,DF,DIOGO DALOT,José Diogo,DALOT TEIXEIRA,DALOT,18-03-1999,Manchester United FC (ENG),184,8,2
3,DF,PEPE,Kepler Laveran,DE LIMA FERREIRA,PEPE,26-02-1983,FC Porto (POR),188,131,7
4,DF,RUBEN DIAS,Rúben,DOS SANTOS GATO ALVES DIAS,RÚBEN DIAS,14-05-1997,Manchester City FC (ENG),187,42,2
5,DF,RAPHAEL GUERREIRO,Raphaël Adelino José,GUERREIRO,RAPHAEL,22-12-1993,Borussia Dortmund (GER),170,59,3
6,MF,JOAO PALHINHA,João Maria,LOBO ALVES PALHINHA GONÇALVES,J. PALHINHA,09-07-1995,Fulham FC (ENG),190,18,2
7,FW,CRISTIANO RONALDO,Cristiano Ronaldo,DOS SANTOS AVEIRO,RONALDO,05-02-1985,N/A (Free Agent),185,194,118
8,MF,BRUNO FERNANDES,Bruno Miguel,BORGES FERNANDES,B. FERNANDES,08-09-1994,Manchester United FC (ENG),183,51,13
9,FW,ANDRE SILVA,André Miguel,VALENTE DA SILVA,ANDRÉ SILVA,06-11-1995,RB Leipzig (GER),184,53,19
10,FW,BERNARDO SILVA,Bernardo,MOTA VEIGA DE CARVALHO E SILVA,BERNARDO,10-08-1994,Manchester City FC (ENG),173,76,8
11,FW,JOAO FELIX,João,FÉLIX SEQUEIRA,JOÃO FÉLIX,10-11-1999,CA Atlético Madrid (ESP),179,26,4
12,GK,JOSE SA,José Pedro,MALHEIRO DE SÁ,JOSÉ SÁ,17-01-1993,Wolverhampton Wanderers FC (ENG),192,0,0
13,DF,DANILO PEREIRA,Danilo Luís Hélio,PEREIRA,DANILO,09-09-1991,Paris Saint-Germain FC (FRA),188,64,2
14,MF,WILLIAM CARVALHO,William,SILVA DE CARVALHO,WILLIAM,07-04-1992,Real Betis (ESP),190,79,5
15,FW,RAFAEL LEAO,Rafael Alexandre,DA CONCEIÇÃO LEÃO,R. LEÃO,10-06-1999,AC Milan (ITA),188,14,1
16,MF,VITINHA,Vitor,MACHADO FERREIRA,VITINHA,13-02-2000,Paris Saint-Germain FC (FRA),172,6,0
17,MF,JOAO MARIO,João Mário,NAVAL DA COSTA EDUARDO,J. MÁRIO,19-01-1993,SL Benfica (POR),179,55,3
18,MF,RUBEN NEVES,Rúben Diogo,SILVA NEVES,R. NEVES,13-03-1997,Wolverhampton Wanderers FC (ENG),180,35,0
19,DF,NUNO MENDES,Nuno Alexandre,TAVARES MENDES,N. MENDES,19-06-2002,Paris Saint-Germain FC (FRA),176,18,0
20,DF,JOAO CANCELO,João Pedro,CAVACO CANCELO,JOÃO CANCELO,27-05-1994,Manchester City FC (ENG),182,40,7
21,FW,RICARDO HORTA,Ricardo Jorge,DA LUZ HORTA,R. HORTA,15-09-1994,SC Braga (POR),173,7,2
22,GK,DIOGO COSTA,Diogo,MEIRELES DA COSTA,DIOGO COSTA,19-09-1999,FC Porto (POR),192,10,0
23,MF,MATHEUS NUNES,Matheus Luíz,NUNES,MATHEUS N.,27-08-1998,Wolverhampton Wanderers FC (ENG),181,11,1
24,DF,ANTONIO SILVA,António João,PEREIRA DE ALBUQUERQUE TAVARES,ANTÓNIO S.,30-10-2003,SL Benfica (POR),187,2,0
25,MF,OTAVIO,Otávio Edmilson,DA SILVA MONTEIRO,OTÁVIO,09-02-1995,FC Porto (POR),172,9,2
26,FW,GONCALO RAMOS,Gonçalo,MATIAS RAMOS,G. RAMOS,20-06-2001,SL Benfica (POR),185,3,1
