#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,MOHAMMED ALYAMI,Mohammed Faraj S,ALYAMI,ALYAMI,14-08-1997,Al Ahli SC (KSA),190,6,0
2,DF,SULTAN ALGHANNAM,Sultan Abdullah S,ALGHANNAM,SULTAN,06-05-1994,Al Nassr FC (KSA),173,26,0
3,DF,ABDULLAH MADU,Abdullah Mohammed M,MADU,MADU,15-07-1993,Al Nassr FC (KSA),187,14,0
4,DF,ABDULELAH ALAMRI,Abdulelah Ali A,ALAMRI,ALAMRI,15-01-1997,Al Nassr FC (KSA),185,21,1
5,DF,ALI ALBULAYHI,Ali Hadi M,AL BULAYHI,ALBULAYHI,21-11-1989,Al Hilal SFC (KSA),182,38,0
6,DF,MOHAMMED ALBURAYK,Mohammed Ibrahim M,ALBURAYK,ALBURAYK,15-09-1992,Al Hilal SFC (KSA),173,38,0
7,MF,SALMAN ALFARAJ,Salman Mohammed M,ALFARAJ,SALMAN,01-08-1989,Al Hilal SFC (KSA),180,67,7
8,MF,ABDULELAH ALMALKI,Abdulelah Saad H,ALMALKI,ALMALKI,11-10-1994,Al Hilal SFC (KSA),176,27,0
9,FW,FERAS ALBRIKAN,Feras Tariq N,ALBRIKAN,FERAS,14-05-2000,Al Fateh SC (KSA),181,30,6
10,FW,SALEM ALDAWSARI,Salem Mohammed S,ALDAWSARI,SALEM,19-08-1991,Al Hilal SFC (KSA),172,69,18
11,FW,SALEH ALSHEHRI,Saleh Khalid M,ALSHEHRI,ALSHEHRI,01-11-1993,Al Hilal SFC (KSA),184,21,9
12,DF,SAUD ABDULHAMID,Saud Abdullah S,ABDULHAMID,SAUD,18-07-1999,Al Hilal SFC (KSA),171,24,1
13,DF,YASSER ALSHAHRANI,Yasir Gharsan S,ALSHAHRANI,YASSER,25-05-1992,Al Hilal SFC (KSA),171,70,2
14,MF,ABDULLAH OTAYF,Abdullah Ibrahim Y,OTAYF,OTAYF,03-08-1992,Al Hilal SFC (KSA),177,39,1
15,MF,ALI ALHASSAN,Ali Sadiq N,ALHASSAN,ALHASSAN,04-03-1997,Al Nassr FC (KSA),182,12,1
16,MF,SAMI ALNAJI,Sami Khalil N,ALNAJI,SAMI,07-02-1997,Al Nassr FC (KSA),176,17,2
17,DF,HASSAN ALTAMBAKTI,Hassan Mohammed O,ALTAMBAKTI,ALTAMBAKTI,09-02-1999,Al Shabab FC (KSA),182,18,0
18,MF,NAWAF ALABID,Nawaf Shaker F,ALABID,NAWAF,26-01-1990,Al Shabab FC (KSA),169,56,8
19,FW,HATAN BAHBRI,Hatan Sultan A,BAHBRI,HATAN,16-07-1992,Al Shabab FC (KSA),172,40,4
20,FW,ABDULRAHMAN ALOBUD,Abdulrahman Ali H,ALOBUD,ALOBUD,01-06-1995,Al Ittihad FC (KSA),174,4,0
21,GK,MOHAMMED ALOWAIS,Mohammed Khalil I,ALOWAIS,ALOWAIS,10-10-1991,Al Hilal SFC (KSA),185,42,0
22,GK,NAWAF ALAQIDI,Nawaf Dhahi F,ALAQIDI,ALAQIDI,10-05-2000,Al Nassr FC (KSA),186,0,0
23,MF,MOHAMED KANNO,Mohammed Ibrahim A,KANNO,KANNO,22-09-1994,Al Hilal SFC (KSA),192,40,1
24,MF,NASSER ALDAWSARI,Nasser Essa S,ALDAWSARI,NASSER,19-12-1998,Al Hilal SFC (KSA),178,11,0
25,FW,HAITHAM ASIRI,Haitham Mohammed A,ASIRI,HAITHAM,25-03-2001,Al Ahli SC (KSA),173,8,1
26,MF,RIYADH SHARAHILI,Riyadh Mohammed M,SHARAHILI,RIYADH,28-04-1993,Abha Club (KSA),184,4,0
