#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,MUSLERA Fernando,Nestor Fernando,MUSLERA MICOL,F. MUSLERA,16-06-1986,Galatasaray SK (TUR),190,133,0
2,DF,GIMENEZ Jose Maria,José María,GIMÉNEZ DE VARGAS,J. M. GIMÉNEZ,20-01-1995,CA Atlético Madrid (ESP),185,81,8
3,DF,GODIN Diego,Diego Roberto,GODIN LEAL,D. GODIN,16-02-1986,CA Vélez Sarsfield (ARG),185,161,8
4,DF,ARAUJO Ronald,Ronald Federico,ARAUJO DA SILVA,R. ARAUJO,07-03-1999,FC Barcelona (ESP),185,12,0
5,MF,VECINO Matias,Matias,VECINO FALERO,M. VECINO,24-08-1991,SS Lazio (ITA),189,65,4
6,MF,BENTANCUR Rodrigo,Rodrigo,BENTANCUR COLMAN,R. BENTANCUR,25-06-1997,Tottenham Hotspur FC (ENG),187,54,1
7,MF,DE LA CRUZ Nicolas,Diego Nicolas,DE LA CRUZ ARCOSA,N. DE LA CRUZ,01-06-1997,CA River Plate (ARG),167,19,2
8,FW,PELLISTRI Facundo,Facundo,PELLISTRI REBOLLO,F. PELLISTRI,20-12-2001,Manchester United FC (ENG),174,10,0
9,FW,SUAREZ Luis,Luis Alberto,SUAREZ DIAZ,L. SUAREZ,24-01-1987,Club Nacional (URU),182,137,68
10,MF,DE ARRASCAETA Giorgian,Giorgian Daniel,DE ARRASCAETA BENEDETTI,G. DE ARRASCAETA,01-06-1994,CR Flamengo (BRA),177,42,10
11,FW,NUNEZ Darwin,Darwin Gabriel,NUÑEZ RIBEIRO,D. NUÑEZ,24-06-1999,Liverpool FC (ENG),185,16,3
12,GK,SOSA Sebastian,Carlos Sebastian,SOSA SILVA,S. SOSA,19-08-1986,CA Independiente (ARG),184,1,0
13,DF,VARELA Guillermo,Guillermo,VARELA OLIVERA,G. VARELA,24-03-1993,CR Flamengo (BRA),173,12,0
14,MF,TORREIRA Lucas,Lucas Sebastian,TORREIRA DI PASCUA,L. TORREIRA,11-02-1996,Galatasaray SK (TUR),168,40,0
15,MF,VALVERDE Federico,Federico Santiago,VALVERDE DIPETTA,F. VALVERDE,22-07-1998,Real Madrid CF (ESP),182,47,4
16,DF,OLIVERA Mathias,Mathias,OLIVERA MIRAMONTES,M. OLIVERA,31-10-1997,SSC Napoli (ITA),174,11,0
17,DF,VINA Matias,Matias Nicolas,VIÑA SUSPERREGUY,M. VIÑA,09-11-1997,AS Roma (ITA),180,28,0
18,FW,GOMEZ Maxi,Maximiliano,GÓMEZ GONZÁLEZ,M. GÓMEZ,14-08-1996,Trabzonspor (TUR),186,29,4
19,DF,COATES Sebastian,Sebastián,COATES NION,S. COATES,07-10-1990,Sporting CP (POR),196,49,1
20,FW,TORRES Facundo,Facundo Daniel,TORRES PEREZ,F. TORRES,13-04-2000,Orlando City SC (USA),175,10,0
21,FW,CAVANI Edinson,Edinson Roberto,CAVANI GOMEZ,E. CAVANI,14-02-1987,Valencia CF (ESP),188,136,58
22,DF,CACERES Martin,José Martín,CÁCERES SILVA,M. CÁCERES,07-04-1987,LA Galaxy (USA),178,116,4
23,GK,ROCHET Sergio,Sergio Ramón,ROCHET ALVAREZ,S. ROCHET,23-03-1993,Club Nacional (URU),189,11,0
24,MF,CANOBBIO Agustin,Agustin,CANOBBIO GRAVIZ,A. CANOBBIO,01-10-1998,Athletico Paranaense (BRA),175,4,0
25,MF,UGARTE Manuel,Manuel,UGARTE RIBEIRO,M. UGARTE,11-04-2001,Sporting CP (POR),182,6,0
26,DF,RODRIGUEZ Jose Luis,Jose Luis,RODRIGUEZ BEBANZ,J. L. RODRIGUEZ,14-03-1997,Club Nacional (URU),183,0,0
