#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,HENNESSEY Wayne,Wayne Robert,HENNESSEY,HENNESSEY,24-01-1987,Nottingham Forest FC (ENG),198,108,0
2,DF,GUNTER Chris,Christopher Ross,GUNTER,GUNTER,21-07-1989,AFC Wimbledon (ENG),180,109,0
3,DF,WILLIAMS Neco,Neco Shay,WILLIAMS,N WILLIAMS,13-04-2001,Nottingham Forest FC (ENG),183,26,2
4,DF,DAVIES Ben,Benjamin,THOMAS DAVIES,B DAVIES,24-04-1993,Tottenham Hotspur FC (ENG),181,77,1
5,DF,MEPHAM Chris,Christopher James,MEPHAM,MEPHAM,05-11-1997,Bournemouth AFC (ENG),190,36,0
6,DF,RODON Joe,Joseph Peter,RODON,RODON,22-10-1997,Stade Rennais FC (FRA),193,33,0
7,MF,ALLEN Joe,Joseph Michael,ALLEN,ALLEN,14-03-1990,Swansea City AFC (WAL),170,74,2
8,MF,WILSON Harry,Harry,WILSON,WILSON,22-03-1997,Fulham FC (ENG),173,42,5
9,FW,JOHNSON Brennan,Brennan Price,JOHNSON,JOHNSON,23-05-2001,Nottingham Forest FC (ENG),179,18,2
10,MF,RAMSEY Aaron,Aaron James,RAMSEY,RAMSEY,26-12-1990,OGC Nice (FRA),178,78,20
11,FW,BALE Gareth,Gareth Frank,BALE,BALE,16-07-1989,Los Angeles FC (USA),186,111,41
12,GK,WARD Danny,Daniel,WARD,WARD,22-06-1993,Leicester City FC (ENG),191,28,0
13,FW,MOORE Kieffer,Kieffer Roberto Francisco,MOORE,MOORE,08-08-1992,Bournemouth AFC (ENG),196,31,9
14,DF,ROBERTS Connor,Connor Richard John,ROBERTS,ROBERTS,23-09-1995,Burnley FC (ENG),175,44,3
15,DF,AMPADU Ethan,Ethan Kwame Colm Raymond,AMPADU,AMPADU,14-09-2000,Spezia Calcio (ITA),183,40,0
16,MF,MORRELL Joe,Joseff John,MORRELL,MORRELL,03-01-1997,Portsmouth FC (ENG),185,32,0
17,DF,LOCKYER Tom,Thomas Alun,LOCKYER,LOCKYER,03-12-1994,Luton Town FC (ENG),185,14,0
18,MF,WILLIAMS Jonny,Jonathan Peter,WILLIAMS,J WILLIAMS,09-10-1993,Swindon Town FC (ENG),168,33,2
19,FW,HARRIS Mark,Thomas Mark,HARRIS,HARRIS,29-12-1998,Cardiff City FC (WAL),182,5,0
20,FW,JAMES Daniel,Daniel Owen,JAMES,JAMES,10-11-1997,Fulham FC (ENG),171,41,5
21,GK,DAVIES Adam,Adam Rhys,DAVIES,A DAVIES,17-07-1992,Sheffield United FC (ENG),185,4,0
22,MF,THOMAS Sorba,Benjamin Sorba William,THOMAS,THOMAS,25-01-1999,Huddersfield Town FC (ENG),185,7,0
23,MF,LEVITT Dylan,Dylan James Christopher,LEVITT,LEVITT,17-11-2000,Dundee United FC (SCO),180,13,0
24,DF,CABANGO Ben,Benjamin George,CABANGO,CABANGO,30-05-2000,Swansea City AFC (WAL),186,5,0
25,DF,COLWILL Rubin,Rubin James,COLWILL,COLWILL,27-04-2002,Cardiff City FC (WAL),169,8,1
26,MF,SMITH Matt,Matthew Robert,SMITH,SMITH,22-11-1999,MK Dons FC (ENG),175,19,0
