#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,PICKFORD Jordan,Jordan Lee,PICKFORD,PICKFORD,07-03-1994,Everton FC (ENG),185,48,0
2,DF,WALKER Kyle,Kyle Andrew,WALKER,WALKER,28-05-1990,Manchester City FC (ENG),178,71,0
3,DF,SHAW Luke,Luke Paul,SHAW,SHAW,12-07-1995,Manchester United FC (ENG),185,26,3
4,MF,RICE Declan,Declan,RICE,RICE,14-01-1999,West Ham United FC (ENG),185,37,2
5,DF,STONES John,John,STONES,STONES,28-05-1994,Manchester City FC (ENG),188,62,3
6,DF,MAGUIRE Harry,Harry Jacob,MAGUIRE,MAGUIRE,05-03-1993,Manchester United FC (ENG),193,51,7
7,FW,GREALISH Jack,Jack Peter,GREALISH,GREALISH,10-09-1995,Manchester City FC (ENG),175,27,2
8,MF,HENDERSON Jordan,Jordan Brian,HENDERSON,HENDERSON,17-06-1990,Liverpool FC (ENG),183,72,2
9,FW,KANE Harry,Harry Edward,KANE,KANE,28-07-1993,Tottenham Hotspur FC (ENG),188,78,51
10,FW,STERLING Raheem,Raheem,STERLING,STERLING,08-12-1994,Chelsea FC (ENG),170,81,20
11,FW,RASHFORD Marcus,Marcus,RASHFORD,RASHFORD,31-10-1997,Manchester United FC (ENG),180,49,15
12,DF,TRIPPIER Kieran,Kieran John,TRIPPIER,TRIPPIER,19-09-1990,Newcastle United FC (ENG),178,40,1
13,GK,POPE Nick,Nicholas David,POPE,POPE,19-04-1992,Newcastle United FC (ENG),191,10,0
14,MF,PHILLIPS Kalvin,Kalvin Mark,PHILLIPS,PHILLIPS,02-12-1995,Manchester City FC (ENG),178,24,0
15,DF,DIER Eric,Eric Jeremy Edgar,DIER,DIER,15-01-1994,Tottenham Hotspur FC (ENG),188,48,3
16,DF,COADY Conor,Conor David,COADY,COADY,25-02-1993,Everton FC (ENG),184,10,1
17,FW,SAKA Bukayo,Bukayo Ayoyinka,SAKA,SAKA,05-09-2001,Arsenal FC (ENG),178,22,6
18,DF,ALEXANDER-ARNOLD Trent,Trent John,ALEXANDER-ARNOLD,ALEXANDER-ARNOLD,07-10-1998,Liverpool FC (ENG),175,18,1
19,MF,MOUNT Mason,Mason Tony,MOUNT,MOUNT,10-01-1999,Chelsea FC (ENG),180,34,5
20,MF,FODEN Phil,Philip Walter,FODEN,FODEN,28-05-2000,Manchester City FC (ENG),180,20,3
21,DF,WHITE Ben,Benjamin William,WHITE,WHITE,08-10-1997,Arsenal FC (ENG),186,4,0
22,MF,BELLINGHAM Jude,Jude Victor William,BELLINGHAM,BELLINGHAM,29-06-2003,Borussia Dortmund (GER),186,20,1
23,GK,RAMSDALE Aaron,Aaron Christopher,RAMSDALE,RAMSDALE,14-05-1998,Arsenal FC (ENG),188,3,0
24,FW,WILSON Callum,Callum Eddie Graham,WILSON,WILSON,27-02-1992,Newcastle United FC (ENG),180,6,1
25,MF,MADDISON James,James,MADDISON,MADDISON,23-11-1996,Leicester City FC (ENG),175,1,0
26,MF,GALLAGHER Conor,Conor John,GALLAGHER,GALLAGHER,06-02-2000,Chelsea FC (ENG),183,4,0
