#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,NEUER Manuel,Manuel Peter,NEUER,NEUER,27-03-1986,FC Bayern München (GER),193,117,0
2,DF,RUEDIGER Antonio,Antonio,RÜDIGER,RÜDIGER,03-03-1993,Real Madrid CF (ESP),190,57,2
3,DF,RAUM David,David,RAUM,RAUM,22-04-1998,RB Leipzig (GER),180,15,0
4,DF,GINTER Matthias,Matthias Lukas,GINTER,GINTER,19-01-1994,SC Freiburg (GER),189,48,2
5,DF,KEHRER Thilo,Jan Thilo,KEHRER,KEHRER,21-09-1996,West Ham United FC (ENG),186,24,0
6,MF,KIMMICH Joshua,Joshua Walter,KIMMICH,KIMMICH,08-02-1995,FC Bayern München (GER),177,74,5
7,FW,HAVERTZ Kai,Kai Lukas,HAVERTZ,HAVERTZ,11-06-1999,Chelsea FC (ENG),190,33,12
8,MF,GORETZKA Leon,Leon Christoph,GORETZKA,GORETZKA,06-02-1995,FC Bayern München (GER),189,48,14
9,FW,FUELLKRUG Niclas,Niclas,FÜLLKRUG,FÜLLKRUG,09-02-1993,SV Werder Bremen (GER),188,4,3
10,FW,GNABRY Serge,Serge David,GNABRY,GNABRY,14-07-1995,FC Bayern München (GER),176,39,21
11,MF,GOETZE Mario,Mario,GÖTZE,GÖTZE,03-06-1992,Eintracht Frankfurt (GER),176,65,17
12,GK,TRAPP Kevin,Kevin Christian,TRAPP,TRAPP,08-07-1990,Eintracht Frankfurt (GER),189,6,0
13,MF,MUELLER Thomas,Thomas,MÜLLER,MÜLLER,13-09-1989,FC Bayern München (GER),185,121,44
14,MF,MUSIALA Jamal,Jamal,MUSIALA,MUSIALA,26-02-2003,FC Bayern München (GER),180,20,1
15,DF,SUELE Niklas,Niklas,SÜLE,SÜLE,03-09-1995,Borussia Dortmund (GER),195,45,1
16,DF,KLOSTERMANN Lukas,Lukas Manuel,KLOSTERMANN,KLOSTERMANN,03-06-1996,RB Leipzig (GER),187,21,0
17,MF,BRANDT Julian,Julian,BRANDT,BRANDT,02-05-1996,Borussia Dortmund (GER),183,39,3
18,MF,HOFMANN Jonas,Jonas,HOFMANN,HOFMANN,14-07-1992,VfL Borussia Mönchengladbach (GER),176,19,4
19,MF,SANE Leroy,Leroy Aziz,SANÉ,SANÉ,11-01-1996,FC Bayern München (GER),183,50,11
20,DF,GUENTER Christian,Christian,GÜNTER,GÜNTER,28-02-1993,SC Freiburg (GER),184,7,0
21,MF,GUENDOGAN Ilkay,Ilkay,GÜNDOĞAN,GÜNDOĞAN,24-10-1990,Manchester City FC (ENG),180,66,17
22,GK,TER STEGEN Marc-Andre,Marc-André,TER STEGEN,TER STEGEN,30-04-1992,FC Barcelona (ESP),187,30,0
23,DF,SCHLOTTERBECK Nico,Nico Cedric,SCHLOTTERBECK,SCHLOTTERBECK,01-12-1999,Borussia Dortmund (GER),191,8,0
24,FW,ADEYEMI Karim,Karim David,ADEYEMI,ADEYEMI,18-01-2002,Borussia Dortmund (GER),180,4,1
25,DF,BELLA KOTCHAP Armel,Armel,BELLA KOTCHAP,BELLA KOTCHAP,11-12-2001,Southampton FC (ENG),190,2,0
26,FW,MOUKOKO Youssoufa,Youssoufa,MOUKOKO,MOUKOKO,20-11-2004,Borussia Dortmund (GER),179,2,0
