#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,ZIGI Lawrence Ati,Lawrence Ati,ZIGI,ZIGI,29-11-1996,FC St. Gallen (SUI),188,14,0
2,DF,LAMPTEY Tariq,Tariq Kwame Nii-Lante,LAMPTEY,LAMPTEY,30-09-2000,Brighton & Hove Albion FC (ENG),170,4,0
3,DF,ODOI Denis,Denis Frimpong,ODOI,ODOI,27-05-1988,Club Brugge (BEL),178,5,0
4,DF,SALISU Mohammed,Mohammed Salisu,ABDUL KARIM,M. SALISU,17-04-1999,Southampton FC (ENG),191,6,2
5,MF,PARTEY Thomas,Thomas Teye,PARTEY,PARTEY,13-06-1993,Arsenal FC (ENG),185,43,13
6,MF,OWUSU Elisha,Elisha,OWUSU,OWUSU,07-11-1997,KAA Gent (BEL),182,3,0
7,MF,ISSAHAKU Fatawu,Abdul Fatawu,ISSAHAKU,A. FATAWU,08-03-2004,Sporting CP (POR),177,14,1
8,MF,KYEREH Daniel-Kofi,Daniel Kofi,KYEREH,KYEREH,08-03-1996,SC Freiburg (GER),179,18,0
9,FW,AYEW Jordan,Jordan Pierre,AYEW,J. AYEW,11-09-1991,Crystal Palace FC (ENG),182,87,19
10,FW,AYEW Andre,Andre Morgan Rami,AYEW,A. AYEW,17-12-1989,Al Sadd SC (QAT),175,112,24
11,MF,BUKARI Osman,Osman,BUKARI,BUKARI,13-12-1998,FK Crvena Zvezda (SRB),170,9,2
12,GK,DANLAD Ibrahim,Danlad,IBRAHIM,DANLAD,02-12-2002,Asante Kotoko SC (GHA),181,4,0
13,MF,AFRIYIE Daniel,Daniel,AFRIYIE BERNIEH,AFRIYIE,26-06-2001,Hearts Of Oak SC (GHA),170,7,3
14,DF,MENSAH Gideon,Gideon,MENSAH,MENSAH,18-07-1998,AJ Auxerre (FRA),178,13,0
15,DF,AIDOO Joseph,Joseph,AIDOO,AIDOO,29-09-1995,RC Celta Vigo (ESP),184,11,0
16,GK,NURUDEEN Abdul Manaf,Abdul Manaf,NURUDEEN,NURUDEEN,08-02-1999,KAS Eupen (BEL),190,2,0
17,DF,RAHMAN Baba,Abdul Rahman,BABA,BABA,02-07-1994,Reading FC (ENG),180,51,1
18,DF,AMARTEY Daniel,Daniel,AMARTEY,AMARTEY,21-12-1994,Leicester City FC (ENG),186,49,0
19,FW,WILLIAMS Inaki,Inaki,WILLIAMS ARTHUER,WILLIAMS,15-06-1994,Athletic Bilbao (ESP),186,6,0
20,MF,KUDUS Mohammed,Kudus,MOHAMMED,KUDUS,02-08-2000,AFC Ajax (NED),175,21,7
21,MF,ABDUL SAMED Salis,Salis,ABDUL SAMED,ABDUL-SAMED,26-03-2000,RC Lens (FRA),179,4,0
22,MF,SULEMANA Kamaldeen,Kamal Deen,SULEMANA,KAMALDEEN,15-02-2002,Stade Rennais FC (FRA),174,15,0
23,DF,DJIKU Alexander,Alexander Kwabena Baidooh,DJIKU,DJIKU,09-08-1994,RC Strasbourg (FRA),182,20,1
24,MF,SOWAH Kamal,Kamal,SOWAH,SOWAH,09-01-2000,Club Brugge (BEL),179,1,0
25,FW,SEMENYO Antoine,Antoine Serlom,SEMENYO,SEMENYO,07-01-2000,Bristol City FC (ENG),172,6,1
26,DF,SEIDU Alidu,Alidu,SEIDU,A. SEIDU,04-06-2000,Clermont Foot (FRA),173,6,0
