#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,BEIRANVAND Alireza,Ali Reza,SAFARBEIRANVAND,A. BEIRANVAND,21-09-1992,Perspolis Tehran (IRN),194,55,0
2,DF,MOHARRAMI Sadegh,Sadegh,MOHARRAMI GETGASARI,MOHARRAMI,01-03-1996,GNK Dinamo Zagreb (CRO),174,23,0
3,DF,HAJISAFI Ehsan,Ehsan,HAJI SAFI,E. HAJISAFI,25-02-1990,AEK Athens (GRE),178,124,7
4,DF,KHALILZADEH Shoja,Shojae,KHALILZADEH,SHOJA,14-05-1989,Al Ahli SC (QAT),179,25,1
5,DF,MOHAMMADI Milad,Milad,MOHAMMADIKESHMARZI,M. MOHAMMADI,29-09-1993,AEK Athens (GRE),178,49,1
6,MF,EZATOLAHI Saeid,Saeid,EZATOLAHI AFAGH,S. EZATOLAHI,01-10-1996,Vejle BK (DEN),190,51,1
7,MF,JAHANBAKHSH Alireza,Alireza,JAHAN BAKHSH JIRANDEH,A. JAHANBAKHSH,11-08-1993,Feyenoord Rotterdam (NED),181,67,13
8,DF,POURALIGANJI Morteza,Morteza,POURALI GANJI,M. POURALIGANJI,19-04-1992,Perspolis Tehran (IRN),185,50,3
9,FW,TAREMI Mehdi,Mehdi,TAREMI,TAREMI,18-07-1992,FC Porto (POR),185,64,30
10,FW,ANSARIFARD Karim,Karim,ANSARI FARD,KARIM,03-04-1990,AC Omonia (CYP),186,96,29
11,MF,AMIRI Vahid,Vahid,AMIRI,V. AMIRI,02-04-1988,Perspolis Tehran (IRN),179,70,2
12,GK,NIAZMAND Payam,Seyed Payam,NIAZMANDGHADER,PAYAM,06-04-1995,Sepahan FC (IRN),194,1,0
13,DF,KANANI Hossein,Mohammadhossein,KANANI ZADEGAN,KANANI,23-03-1994,Al Ahli SC (QAT),188,36,2
14,MF,GHODDOS Saman,Seyed Saman,GHODDOOS,GHODDOS,06-09-1993,Brentford FC (ENG),175,34,2
15,DF,CHESHMI Rouzbeh,Roozbeh,CHESHMI,ROUZBEH,24-07-1993,Esteghlal Tehran FC (IRN),194,22,2
16,MF,TORABI Mehdi,Mahdi,TORABI,M. TORABI,10-09-1994,Persepolis FC (IRN),180,39,7
17,MF,GHOLIZADEH Ali,Ali,GHOLI ZADEHNOJEHDEH,A. GHOLIZADEH,10-03-1996,Sporting Charleroi (BEL),176,29,6
18,MF,KARIMI Ali,Ali,KARIMI,A. KARIMI,11-02-1994,Kayserispor (TUR),185,16,0
19,DF,HOSSEINI Majid,Seyedmajid,HOSSEINI,MAJID,20-06-1996,Kayserispor (TUR),187,22,0
20,FW,AZMOUN Sardar,Sardar,AZMOUN,S. AZMOUN,01-01-1995,Bayer 04 Leverkusen (GER),186,68,41
21,MF,NOOROLLAHI Ahmad,Ahmad,NOOROLLAHI,AHMAD,01-02-1993,Shabab Al Ahli Club (UAE),185,28,3
22,GK,ABEDZADEH Amir,Amir,ABEDZADEH,ABEDZADEH,26-04-1993,SD Ponferradina (ESP),186,11,0
23,DF,REZAEIAN Ramin,Ramin,REZAEIANSEMESKANDI,RAMIN,21-03-1990,Sepahan FC (IRN),184,48,3
24,GK,HOSSEINI Hossein,Seyedhossein,HOSSEINI,H. HOSSEINI,30-06-1992,Esteghlal Tehran FC (IRN),187,9,0
25,DF,JALALI Abolfazl,Seyedabolfazl,JALALIBOORANI,JALALI,26-06-1998,Esteghlal Tehran FC (IRN),177,5,0
