#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,KAWASHIMA Eiji,Eiji,KAWASHIMA,KAWASHIMA,20-03-1983,RC Strasbourg (FRA),185,95,0
2,DF,YAMANE Miki,Miki,YAMANE,YAMANE,22-12-1993,Kawasaki Frontale (JPN),178,16,2
3,DF,TANIGUCHI Shogo,Shogo,TANIGUCHI,TANIGUCHI,15-07-1991,Kawasaki Frontale (JPN),183,15,0
4,DF,ITAKURA Kou,Kou,ITAKURA,ITAKURA,27-01-1997,VfL Borussia Mönchengladbach (GER),186,16,1
5,DF,NAGATOMO Yuto,Yuto,NAGATOMO,NAGATOMO,12-09-1986,FC Tokyo (JPN),170,141,4
6,MF,ENDO Wataru,Wataru,ENDO,ENDO,09-02-1993,VfB Stuttgart (GER),178,46,2
7,MF,SHIBASAKI Gaku,Gaku,SHIBASAKI,GAKU,28-05-1992,CD Leganés (ESP),175,60,3
8,MF,DOAN Ritsu,Ritsu,DOAN,DOAN,16-06-1998,SC Freiburg (GER),172,32,5
9,MF,MITOMA Kaoru,Kaoru,MITOMA,MITOMA,20-05-1997,Brighton & Hove Albion FC (ENG),178,12,5
10,MF,MINAMINO Takumi,Takumi,MINAMINO,MINAMINO,16-01-1995,AS Monaco (FRA),174,46,17
11,MF,KUBO Takefusa,Takefusa,KUBO,KUBO,04-06-2001,Real Sociedad (ESP),173,22,1
12,GK,GONDA Shuichi,Shuichi,GONDA,GONDA,03-03-1989,Shimizu S-Pulse (JPN),187,37,0
13,MF,MORITA Hidemasa,Hidemasa,MORITA,MORITA,10-05-1995,Sporting CP (POR),177,19,2
14,MF,ITO Junya,Junya,ITO,ITO,09-03-1993,Stade Reims (FRA),176,41,9
15,MF,KAMADA Daichi,Daichi,KAMADA,KAMADA,05-08-1996,Eintracht Frankfurt (GER),180,25,6
16,DF,TOMIYASU Takehiro,Takehiro,TOMIYASU,TOMIYASU,05-11-1998,Arsenal FC (ENG),187,31,1
17,MF,TANAKA Ao,Ao,TANAKA,TANAKA,10-09-1998,Fortuna Düsseldorf (GER),180,17,3
18,FW,ASANO Takuma,Takuma,ASANO,ASANO,10-11-1994,VfL Bochum (GER),173,40,8
19,DF,SAKAI Hiroki,Hiroki,SAKAI,SAKAI,12-04-1990,Urawa Reds (JPN),185,73,1
20,FW,MACHINO Shuto,Shuto,MACHINO,MACHINO,30-09-1999,Shonan Bellmare (JPN),185,4,3
21,FW,UEDA Ayase,Ayase,UEDA,UEDA,28-08-1998,Cercle Brugge (BEL),182,12,0
22,DF,YOSHIDA Maya,Maya,YOSHIDA,YOSHIDA,24-08-1988,FC Schalke 04 (GER),189,125,12
23,GK,SCHMIDT Daniel,Daniel Yuji,YABUKI,SCHMIDT,03-02-1992,Sint-Truiden VV (BEL),197,11,0
24,MF,SOMA Yuki,Yuki,SOMA,SOMA,25-02-1997,Nagoya Grampus (JPN),166,9,4
25,FW,MAEDA Daizen,Daizen,MAEDA,MAEDA,20-10-1997,Celtic FC (SCO),173,10,1
26,DF,ITO Hiroki,Hiroki,ITO,H. ITO,12-05-1999,VfB Stuttgart (GER),188,7,0
