#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,KIM Seunggyu,Seunggyu,KIM,S G KIM,30-09-1990,Al Shabab FC (KSA),187,70,0
2,DF,YOON Jonggyu,Jonggyu,YOON,J G YOON,20-03-1998,FC Seoul (KOR),173,4,0
3,DF,KIM Jinsu,Jin Su,KIM,J S KIM,13-06-1992,Jeonbuk Hyundai FC (KOR),177,64,2
4,DF,KIM Minjae,Minjae,KIM,M J KIM,15-11-1996,SSC Napoli (ITA),189,46,3
5,MF,JUNG Wooyoung,Wooyoung,JUNG,W Y JUNG,14-12-1989,Al Sadd SC (QAT),188,69,3
6,MF,HWANG Inbeom,Inbeom,HWANG,I B HWANG,20-09-1996,Olympiacos Piraeus FC (GRE),177,40,4
7,MF,SON Heungmin,Heung Min,SON,H M SON,08-07-1992,Tottenham Hotspur FC (ENG),183,107,35
8,MF,PAIK Seungho,Seungho,PAIK,S H PAIK,17-03-1997,Jeonbuk Hyundai FC (KOR),182,14,2
9,FW,CHO Guesung,Guesung,CHO,G S CHO,25-01-1998,Jeonbuk Hyundai FC (KOR),188,19,6
10,MF,LEE Jaesung,Jae Sung,LEE,J S LEE,10-08-1992,FSV Mainz 05 (GER),180,66,9
11,MF,HWANG Heechan,Hee Chan,HWANG,H C HWANG,26-01-1996,Wolverhampton Wanderers FC (ENG),177,50,10
12,GK,SONG Bumkeun,Bumkeun,SONG,B K SONG,15-10-1997,Jeonbuk Hyundai FC (KOR),196,1,0
13,MF,SON Junho,Junho,SON,J H SON,12-05-1992,Shandong Luneng Taishan FC (CHN),178,17,0
14,DF,HONG Chul,Chul,HONG,C HONG,17-09-1990,Daegu FC (KOR),177,46,1
15,DF,KIM Moonhwan,Moonhwan,KIM,M H KIM,01-08-1995,Jeonbuk Hyundai FC (KOR),173,25,0
16,FW,HWANG Uijo,Ui Jo,HWANG,U J HWANG,28-08-1992,Olympiacos Piraeus FC (GRE),184,52,16
17,MF,NA Sangho,Sangho,NA,S H NA,12-08-1996,FC Seoul (KOR),173,26,2
18,MF,LEE Kangin,Kangin,LEE,K I LEE,19-02-2001,RCD Mallorca (ESP),173,9,0
19,DF,KIM Younggwon,Younggwon,KIM,Y G KIM,27-02-1990,Ulsan Hyundai FC (KOR),186,99,7
20,DF,KWON Kyungwon,Kyungwon,KWON,K W KWON,31-01-1992,Gamba Osaka (JPN),187,30,2
21,GK,JO Hyeonwoo,Hyeonwoo,JO,H W JO,25-09-1991,Ulsan Hyundai FC (KOR),189,22,0
22,MF,KWON Changhoon,Changhoon,KWON,C H KWON,30-06-1994,Gimcheon Sangmu FC (KOR),174,43,12
23,DF,KIM Taehwan,Taehwan,KIM,T H KIM,24-07-1989,Ulsan Hyundai FC (KOR),177,19,0
24,DF,CHO Yumin,Yumin,CHO,Y M CHO,17-11-1996,Daejeon Hana Citizen FC (KOR),182,5,0
25,MF,JEONG Wooyeong,Wooyeong,JEONG,W Y JEONG,20-09-1999,SC Freiburg (GER),180,10,2
26,MF,SONG Minkyu,Minkyu,SONG,M K SONG,12-09-1999,Jeonbuk Hyundai FC (KOR),179,13,1
