#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,SZCZESNY Wojciech,Wojciech Tomasz,SZCZĘSNY,SZCZĘSNY,18-04-1990,Juventus FC (ITA),195,69,0
2,DF,CASH Matty,Matthew Stuart,CASH,CASH,07-08-1997,Aston Villa FC (ENG),185,10,1
3,DF,JEDRZEJCZYK Artur,Artur Marcin,JĘDRZEJCZYK,JĘDRZEJCZYK,04-11-1987,Legia Warsaw (POL),189,41,3
4,DF,WIETESKA Mateusz,Mateusz,WIETESKA,WIETESKA,11-02-1997,Clermont Foot (FRA),187,2,0
5,DF,BEDNAREK Jan,Jan Kacper,BEDNAREK,BEDNAREK,12-04-1996,Aston Villa FC (ENG),189,45,1
6,MF,BIELIK Krystian,Krystian,BIELIK,BIELIK,04-01-1998,Birmingham City FC (ENG),189,8,0
7,FW,MILIK Arkadiusz,Arkadiusz Krystian,MILIK,MILIK,28-02-1994,Juventus FC (ITA),186,66,16
8,MF,SZYMANSKI Damian,Damian Dawid,SZYMAŃSKI,D. SZYMAŃSKI,16-06-1995,AEK Athens (GRE),185,10,1
9,FW,LEWANDOWSKI Robert,Robert,LEWANDOWSKI,LEWANDOWSKI,21-08-1988,FC Barcelona (ESP),185,137,77
10,MF,KRYCHOWIAK Grzegorz,Grzegorz,KRYCHOWIAK,KRYCHOWIAK,29-01-1990,Al Shabab FC (KSA),186,97,5
11,MF,GROSICKI Kamil,Kamil Paweł,GROSICKI,GROSICKI,08-06-1988,Pogon Szczecin (POL),180,87,17
12,GK,SKORUPSKI Lukasz,Łukasz,SKORUPSKI,SKORUPSKI,05-05-1991,Bologna FC (ITA),187,8,0
13,MF,KAMINSKI Jakub,Jakub,KAMIŃSKI,KAMIŃSKI,05-06-2002,VfL Wolfsburg (GER),179,7,1
14,DF,KIWIOR Jakub,Jakub Piotr,KIWIOR,KIWIOR,15-02-2000,Spezia Calcio (ITA),189,8,0
15,DF,GLIK Kamil,Kamil Jacek,GLIK,GLIK,03-02-1988,Benevento Calcio (ITA),190,102,6
16,FW,SWIDERSKI Karol,Karol Grzegorz,ŚWIDERSKI,ŚWIDERSKI,23-01-1997,Charlotte FC (USA),184,19,8
17,MF,ZURKOWSKI Szymon,Szymon Piotr,ŻURKOWSKI,ŻURKOWSKI,25-09-1997,ACF Fiorentina (ITA),185,7,0
18,DF,BERESZYNSKI Bartosz,Bartosz,BERESZYŃSKI,BERESZYŃSKI,12-07-1992,UC Sampdoria (ITA),182,49,0
19,MF,SZYMANSKI Sebastian,Sebastian,SZYMAŃSKI,S. SZYMAŃSKI,10-05-1999,Feyenoord Rotterdam (NED),174,19,1
20,MF,ZIELINSKI Piotr,Piotr Sebastian,ZIELIŃSKI,ZIELIŃSKI,20-05-1994,SSC Napoli (ITA),177,77,10
21,MF,ZALEWSKI Nicola,Nicola,ZALEWSKI,ZALEWSKI,23-01-2002,AS Roma (ITA),175,8,0
22,GK,GRABARA Kamil,Kamil Mieczysław,GRABARA,GRABARA,08-01-1999,FC København (DEN),195,1,0
23,FW,PIATEK Krzysztof,Krzysztof,PIĄTEK,PIĄTEK,01-07-1995,US Salernitana (ITA),183,27,11
24,MF,FRANKOWSKI Przemyslaw,Przemysław Adam,FRANKOWSKI,FRANKOWSKI,12-04-1995,RC Lens (FRA),175,29,1
25,DF,GUMNY Robert,Robert Krzysztof,GUMNY,GUMNY,04-06-1998,FC Augsburg (GER),182,5,0
26,MF,SKORAS Michal,Michał Krzysztof,SKÓRAŚ,SKÓRAŚ,15-02-2000,Lech Poznan (POL),172,2,0
