#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,SAAD ALSHEEB,Saad Abdulla M E,ALSHEEB,SAAD,19-02-1990,Al Sadd SC (QAT),188,85,0
2,DF,PEDRO MIGUEL,Pedro Miguel D D,CORREIA,PEDRO,06-08-1990,Al Sadd SC (QAT),180,86,1
3,MF,ABDELKARIM HASSAN,Abdelkarim Hassan A,FADLALLA,ABDELKARIM,28-08-1993,Al Sadd SC (QAT),185,133,15
4,DF,MOHAMMED WAAD,Mohammed Waad A,ALBAYATI,M. WAAD,18-09-1999,Al Sadd SC (QAT),183,27,0
5,DF,TAREK SALMAN,Tarek Salman S,SALMAN,TAREK,05-12-1997,Al Sadd SC (QAT),179,61,0
6,MF,ABDULAZIZ HATEM,Abdelaziz Hatim A,MOHAMED,A. AZIZ,01-01-1990,Al Rayyan SC (QAT),182,110,11
7,FW,AHMED ALAAELDIN,Ahmed Alaaeldin B M,ABDELMOTAAL,ALAADIN,31-01-1993,Al Gharafa SC (QAT),176,53,1
8,MF,ALI ASAD,Ali Asadalla Q B,THAIMN,ASAD,19-01-1993,Al Sadd SC (QAT),174,63,12
9,FW,MOHAMMED MUNTARI,Mohammed,MUNTARI,MUNTARI,20-12-1993,Al Duhail SC (QAT),192,56,13
10,MF,HASSAN ALHAYDOS,Hasan Khalid H,ALHAYDOS,ALHAYDOS,11-12-1990,Al Sadd SC (QAT),174,171,36
11,FW,AKRAM AFIF,Akram Hassan A Y,AFIF,AFIF,18-11-1996,Al Sadd SC (QAT),176,97,26
12,MF,KARIM BOUDIAF,Karim,BOUDIAF,KARIM,16-09-1990,Al Duhail SC (QAT),190,118,6
13,DF,MUSAAB KHIDIR,Musaab Khidir K,MOHAMED,MUSAAB,01-01-1993,Al Sadd SC (QAT),176,32,1
14,DF,HOMAM AHMED,Homam Elamin M,AHMED,HOMAM,25-08-1999,Al Gharafa SC (QAT),188,34,2
15,DF,BASSAM ALRAWI,Bassam Husham A,ALRAWI,BASSAM,16-12-1997,Al Duhail SC (QAT),175,59,2
16,DF,BOUALEM KHOUKHI,Boualem,KHOUKHI,KHOUKHI,09-07-1990,Al Sadd SC (QAT),185,106,21
17,DF,ISMAIL MOHAMAD,Ismail Mohamad M,B,ISMAIL M.,05-04-1990,Al Duhail SC (QAT),172,72,4
18,FW,KHALID MUNEER,Khalid Muneer A A,MAZEED,K. MUNEER,24-02-1998,Al Wakrah SC (QAT),174,4,1
19,FW,ALMOEZ ALI,Almoez Ali Zainelabdeen M,ABDULLA,ALMOEZ,19-08-1996,Al Duhail SC (QAT),180,95,41
20,MF,SALEM ALHAJRI,Salem Ali S S,AL-HAJRI,S. ALHAJRI,10-04-1996,Al Sadd SC (QAT),183,23,0
21,GK,YOUSOF HASSAN,Yousof Hassan M,ALI,YOUSOF,24-05-1996,Al Gharafa SC (QAT),186,10,0
22,GK,MESHAAL BARSHAM,Meshaal Aissa M,BARSHAM,BARSHAM,14-02-1998,Al Sadd SC (QAT),180,18,0
23,MF,ASSIM MADIBO,Assim Omer A,MADIBO,MADIBO,22-10-1996,Al Duhail SC (QAT),168,47,0
24,MF,NAIF ALHADHRAMI,Naif Abdulraheem O,ALHADHRAMI,NAIF,18-07-2001,Al Rayyan SC (QAT),180,1,0
25,MF,JASSEM GABER,Jassem Gaber E,ABDULSALLAM,JASSEM,20-02-2002,Al Arabi SC (QAT),182,0,0
26,MF,MOUSTAFA TAREK,Moustafa Tarek M M,MASHAL,MOUSTAFA,28-03-2001,Al Sadd SC (QAT),174,1,0
