#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,DIENG Seny,Seny Timothy,DIENG,DIENG,23-11-1994,Queens Park Rangers FC (ENG),195,4,0
2,DF,MENDY Formose,Formose,MENDY,FORMOSE,02-01-2001,Amiens SC (FRA),191,2,0
3,DF,KOULIBALY Kalidou,Kalidou,KOULIBALY,KOULIBALY,20-06-1991,Chelsea FC (ENG),195,67,1
4,DF,CISSE Pape Abou,Pape Abou,CISSE,P. A. CISSE,14-09-1995,Olympiacos Piraeus FC (GRE),192,16,1
5,MF,GUEYE Idrissa Gana,Idrissa Gana,GUEYE,GANA,26-09-1989,Everton FC (ENG),174,99,7
6,MF,MENDY Nampalys,Nampalys,MENDY,N. MENDY,23-06-1992,Leicester City FC (ENG),167,22,0
7,FW,JACKSON Nicolas,Nicolas,JACKSON,N. JACKSON,20-06-2001,Villarreal CF (ESP),186,1,0
8,DF,KOUYATE Cheikhou,Cheikhou,KOUYATE,KOUYATÉ,21-12-1989,Nottingham Forest FC (ENG),189,84,4
9,FW,DIA Boulaye,Boulaye,DIA,B. DIA,16-11-1996,US Salernitana (ITA),180,22,4
10,DF,NDIAYE Moussa,Moussa,NDIAYE,M. NDIAYE,18-06-2002,RSC Anderlecht (BEL),178,1,0
11,MF,CISS Pathe,Ismaila Pathe,CISS,P. I. CISS,16-03-1994,Rayo Vallecano (ESP),186,3,0
12,DF,BALLO-TOURE Fode,Fode,BALLO,B. TOURE,03-01-1997,AC Milan (ITA),182,14,0
13,FW,NDIAYE Iliman,Iliman Cheikh Baroy,NDIAYE,NDIAYE,06-03-2000,Sheffield United FC (ENG),180,4,0
14,DF,JAKOBS Ismail,Ismail Joshua,JAKOBS,JAKOBS,17-08-1999,AS Monaco (FRA),184,5,0
15,MF,DIATTA Krepin,Krépin,DIATTA,DIATTA,25-02-1999,AS Monaco (FRA),173,28,2
16,GK,MENDY Edouard,Edouard Osoque,MENDY,MENDY,01-03-1992,Chelsea FC (ENG),194,28,0
17,MF,SARR Pape Matar,Pape Matar,SARR,P. M. SARR,14-09-2002,Tottenham Hotspur FC (ENG),185,11,0
18,FW,SARR Ismaila,Ismaila,SARR,ISMAILA,25-02-1998,Watford FC (ENG),185,51,11
19,FW,DIEDHIOU Famara,Famara,DIEDHIOU,F. DIEDHIOU,15-12-1992,Alanyaspor (TUR),192,26,11
20,FW,DIENG Bamba,Cheikh Ahmadou Bamba Mbacke,DIENG,BAMBA,23-03-2000,Olympique Marseille (FRA),178,16,2
21,DF,SABALY Youssouf,Youssouf,SABALY,SABALY,05-03-1993,Real Betis (ESP),174,27,0
22,DF,DIALLO Abdou,Abdou Lakhad,DIALLO,DIALLO,04-05-1996,RB Leipzig (GER),187,21,2
23,GK,GOMIS Alfred,Amigo Alfred Junior,GOMIS,GOMIS,05-09-1993,Stade Rennais FC (FRA),196,13,0
24,DF,NAME Moustapha,Moustapha,NAME,M. NAMÉ,05-05-1995,Pafos FC (CYP),183,6,0
25,MF,LOUM Mamadou,Mamadou Loum,NDIAYE,LOUM,30-12-1996,Reading FC (ENG),193,3,0
26,MF,GUEYE Pape,Pape Alassane,GUEYE,GUEYE,24-01-1999,Olympique Marseille (FRA),189,14,0
