#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,DMITROVIC Marko,Marko,DMITROVIĆ,DMITROVIĆ,24-01-1992,Sevilla FC (ESP),194,19,0
2,DF,PAVLOVIC Strahinja,Strahinja,PAVLOVIĆ,PAVLOVIĆ,24-05-2001,FC Red Bull Salzburg (AUT),194,25,2
3,DF,ERAKOVIC Strahinja,Strahinja,ERAKOVIĆ,ERAKOVIĆ,22-01-2001,FK Crvena Zvezda (SRB),184,2,0
4,DF,MILENKOVIC Nikola,Nikola,MILENKOVIĆ,MILENKOVIĆ,12-10-1997,ACF Fiorentina (ITA),195,42,3
5,DF,VELJKOVIC Milos,Miloš,VELJKOVIĆ,VELJKOVIĆ,26-09-1995,SV Werder Bremen (GER),188,24,0
6,MF,MAKSIMOVIC Nemanja,Nemanja,MAKSIMOVIĆ,MAKSIMOVIĆ,26-01-1995,Getafe CF (ESP),189,43,0
7,FW,RADONJIC Nemanja,Nemanja,RADONJIĆ,RADONJIĆ,15-02-1996,Torino FC (ITA),185,39,5
8,MF,GUDELJ Nemanja,Nemanja,GUDELJ,GUDELJ,16-11-1991,Sevilla FC (ESP),187,51,1
9,FW,MITROVIC Aleksandar,Aleksandar,MITROVIĆ,A. MITROVIĆ,16-09-1994,Fulham FC (ENG),189,79,52
10,FW,TADIC Dusan,Dušan,TADIĆ,TADIĆ,20-11-1988,AFC Ajax (NED),181,94,20
11,FW,JOVIC Luka,Luka,JOVIĆ,JOVIĆ,23-12-1997,ACF Fiorentina (ITA),181,30,10
12,GK,RAJKOVIC Predrag,Predrag,RAJKOVIĆ,RAJKOVIĆ,31-10-1995,RCD Mallorca (ESP),191,28,0
13,DF,MITROVIC Stefan,Stefan,MITROVIĆ,S. MITROVIĆ,22-05-1990,Getafe CF (ESP),189,36,0
14,MF,ZIVKOVIC Andrija,Andrija,ŽIVKOVIĆ,ŽIVKOVIĆ,11-07-1996,PAOK Saloniki (GRE),170,32,1
15,DF,BABIC Srdjan,Srđan,BABIĆ,BABIĆ,22-04-1996,UD Almería (ESP),195,3,0
16,MF,LUKIC Sasa,Saša,LUKIĆ,LUKIĆ,13-08-1996,Torino FC (ITA),183,35,2
17,MF,KOSTIC Filip,Filip,KOSTIĆ,KOSTIĆ,01-11-1992,Juventus FC (ITA),184,52,3
18,FW,VLAHOVIC Dusan,Dušan,VLAHOVIĆ,VLAHOVIĆ,28-01-2000,Juventus FC (ITA),190,19,10
19,MF,RACIC Uros,Uroš,RAČIĆ,RAČIĆ,17-03-1998,SC Braga (POR),193,9,0
20,MF,MILINKOVIC-SAVIC Sergej,Sergej,MILINKOVIĆ-SAVIĆ,SERGEJ,27-02-1995,SS Lazio (ITA),192,39,7
21,FW,DJURICIC Filip,Filip,ĐURIČIĆ,ĐURIČIĆ,30-01-1992,UC Sampdoria (ITA),176,39,5
22,MF,LAZOVIC Darko,Darko,LAZOVIĆ,LAZOVIĆ,15-09-1990,Hellas Verona FC (ITA),181,27,0
23,GK,MILINKOVIC-SAVIC Vanja,Vanja,MILINKOVIĆ SAVIĆ,VANJA,20-02-1997,Torino FC (ITA),202,10,0
24,MF,ILIC Ivan,Ivan,ILIĆ,ILIĆ,17-03-2001,Hellas Verona FC (ITA),182,7,0
25,DF,MLADENOVIC Filip,Filip,MLADENOVIĆ,MLADENOVIĆ,15-08-1991,Legia Warsaw (POL),181,21,1
26,MF,GRUJIC Marko,Marko,GRUJIĆ,GRUJIĆ,13-04-1996,FC Porto (POR),191,19,0
