#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,SANCHEZ Robert,Robert,LYNCH SÁNCHEZ,SÁNCHEZ,18-11-1997,Brighton & Hove Albion FC (ENG),197,2,0
2,DF,AZPILICUETA Cesar,César,AZPILICUETA TANCO,AZPILICUETA,28-08-1989,Chelsea FC (ENG),178,44,1
3,DF,GARCIA Eric,Eric,GARCÍA MARTRET,ERIC,09-01-2001,FC Barcelona (ESP),182,19,0
4,DF,TORRES Pau,Pau,FRANCISCO TORRES,PAU,16-01-1997,Villarreal CF (ESP),191,23,1
5,MF,BUSQUETS Sergio,Sergio,BUSQUETS BURGOS,SERGIO,16-07-1988,FC Barcelona (ESP),189,142,2
6,MF,LLORENTE Marcos,Marcos,LLORENTE MORENO,M. LLORENTE,30-01-1995,CA Atlético Madrid (ESP),184,17,0
7,FW,MORATA Alvaro,Álvaro Borja,MORATA MARTÍN,MORATA,23-10-1992,CA Atlético Madrid (ESP),188,60,30
8,MF,KOKE,Jorge,RESURRECCIÓN MERODIO,KOKE,08-01-1992,CA Atlético Madrid (ESP),176,70,0
9,MF,GAVI,Pablo,PAEZ GAVIRA,GAVI,05-08-2004,FC Barcelona (ESP),173,16,3
10,FW,ASENSIO Marco,Marco,ASENSIO WILLEMSEN,M. ASENSIO,21-01-1996,Real Madrid CF (ESP),175,34,2
11,FW,TORRES Ferran,Ferran,TORRES GARCÍA,FERRAN,29-02-2000,FC Barcelona (ESP),184,34,15
12,FW,WILLIAMS Nico,Nicholas,WILLIAMS ARTHUER,WILLIAMS JR.,12-07-2002,Athletic Bilbao (ESP),181,6,1
13,GK,RAYA David,David,RAYA MARTÍN,RAYA,15-09-1995,Brentford FC (ENG),183,2,0
14,DF,BALDE Alejandro,Alejandro,BALDE MARTÍNEZ,BALDE,18-10-2003,FC Barcelona (ESP),175,3,0
15,DF,GUILLAMON Hugo,Hugo,GUILLAMÓN SANMARTÍN,HUGO G.,31-01-2000,Valencia CF (ESP),178,3,1
16,MF,RODRI,Rodrigo,HERNÁNDEZ CASCANTE,RODRIGO,22-06-1996,Manchester City FC (ENG),190,37,1
17,FW,PINO Yeremy,Yeremy Jesús,PINO SANTOS,YEREMY,20-10-2002,Villarreal CF (ESP),172,7,1
18,DF,ALBA Jordi,Jordi,ALBA RAMOS,JORDI ALBA,21-03-1989,FC Barcelona (ESP),170,90,9
19,MF,SOLER Carlos,Carlos,SOLER BARRAGAN,C. SOLER,02-01-1997,Paris Saint-Germain FC (FRA),180,13,4
20,DF,CARVAJAL Dani,Daniel,CARVAJAL RAMOS,CARVAJAL,11-01-1992,Real Madrid CF (ESP),173,33,0
21,FW,OLMO Dani,Daniel,OLMO CARVAJAL,OLMO,07-05-1998,RB Leipzig (GER),179,28,5
22,FW,SARABIA Pablo,Pablo,SARABIA GARCIA,SARABIA,11-05-1992,Paris Saint-Germain FC (FRA),179,25,9
23,GK,SIMON Unai,Unai,SIMÓN MENDIBIL,UNAI SIMÓN,11-06-1997,Athletic Bilbao (ESP),190,30,0
24,DF,LAPORTE Aymeric,Aymeric,LAPORTE FEVRE,LAPORTE,27-05-1994,Manchester City FC (ENG),189,18,1
25,FW,FATI Ansu,Anssumane,FATI VIEIRA,ANSU FATI,31-10-2002,FC Barcelona (ESP),178,6,2
26,MF,PEDRI,Pedro,GONZÁLEZ LÓPEZ,PEDRI,25-11-2002,FC Barcelona (ESP),174,17,0
