#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,SOMMER Yann,Yann,SOMMER,SOMMER,17-12-1988,VfL Borussia Mönchengladbach (GER),183,79,0
2,DF,FERNANDES Edimilson,Edimilson,FERNANDES RIBEIRO,FERNANDES,15-04-1996,FSV Mainz 05 (GER),190,24,2
3,DF,WIDMER Silvan,Silvan Dominic,WIDMER,WIDMER,05-03-1993,FSV Mainz 05 (GER),183,37,2
4,DF,ELVEDI Nico,Nico,ELVEDI,ELVEDI,30-09-1996,VfL Borussia Mönchengladbach (GER),187,43,1
5,DF,AKANJI Manuel,Manuel Obafemi,AKANJI,AKANJI,19-07-1995,Manchester City FC (ENG),186,46,1
6,MF,ZAKARIA Denis,Denis Lemi,ZAKARIA LAKO LADO,ZAKARIA,20-11-1996,Chelsea FC (ENG),189,44,3
7,FW,EMBOLO Breel,Breel Donald,EMBOLO,EMBOLO,14-02-1997,AS Monaco (FRA),184,62,13
8,MF,FREULER Remo,Remo Marco,FREULER,FREULER,15-04-1992,Nottingham Forest FC (ENG),181,52,6
9,FW,SEFEROVIC Haris,Haris,SEFEROVIC,SEFEROVIC,22-02-1992,Galatasaray SK (TUR),186,91,25
10,MF,XHAKA Granit,Granit,XHAKA,XHAKA,27-09-1992,Arsenal FC (ENG),183,110,12
11,DF,STEFFEN Renato,Renato,STEFFEN,STEFFEN,03-11-1991,FC Lugano (SUI),170,29,1
12,GK,OMLIN Jonas,Jonas,OMLIN,OMLIN,10-01-1994,Montpellier HSC (FRA),190,4,0
13,DF,RODRIGUEZ Ricardo,Ricardo Ivan,RODRIGUEZ ARAYA,RODRIGUEZ,25-08-1992,Torino FC (ITA),180,103,9
14,MF,AEBISCHER Michel,Michel,AEBISCHER,AEBISCHER,06-01-1997,Bologna FC (ITA),183,13,0
15,MF,SOW Djibril,Mohameth Djibril Ibrahima,SOW,SOW,06-02-1997,Eintracht Frankfurt (GER),183,35,0
16,MF,FASSNACHT Christian,Christian Andreas,FASSNACHT,FASSNACHT,11-11-1993,BSC Young Boys (SUI),185,17,4
17,FW,VARGAS Ruben,Ruben Estephan,VARGAS MARITNEZ,VARGAS,05-08-1998,FC Augsburg (GER),179,30,4
18,DF,COEMERT Eray,Eray Ervin,CÖMERT,CÖMERT,04-02-1998,Valencia CF (ESP),183,11,0
19,FW,OKAFOR Noah,Noah Arinzechukwu,OKAFOR,OKAFOR,24-05-2000,FC Red Bull Salzburg (AUT),185,11,2
20,MF,FREI Fabian,Fabian,FREI,FREI,08-01-1989,FC Basel (SUI),183,24,3
21,GK,KOBEL Gregor,Gregor,KOBEL,KOBEL,06-12-1997,Borussia Dortmund (GER),194,4,0
22,DF,SCHAER Fabian,Fabian Lukas,SCHÄR,SCHÄR,20-12-1991,Newcastle United FC (ENG),186,74,8
23,MF,SHAQIRI Xherdan,Xherdan,SHAQIRI,SHAQIRI,10-10-1991,Chicago Fire (USA),169,111,27
24,GK,KOEHN Philipp,Philipp Francois,KÖHN,KÖHN,02-04-1998,FC Red Bull Salzburg (AUT),190,0,0
25,MF,RIEDER Fabian,Fabian,RIEDER,RIEDER,16-02-2002,BSC Young Boys (SUI),181,2,0
26,MF,JASHARI Ardon,Ardon,JASHARI,JASHARI,30-07-2002,FC Luzern (SUI),181,1,0
