#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,MATHLOUTHI Aymen,Aymen,MATHLOUTHI,MATHLOUTHI,14-09-1984,Étoile Du Sahel (TUN),182,73,0
2,DF,IFA Bilel,Bilel,IFA,IFA,09-03-1990,Al Kuwait SC (KUW),185,39,0
3,DF,TALBI Montassar,Montassar Omar,TALBI,TALBI,26-05-1998,FC Lorient (FRA),190,26,1
4,DF,MERIAH Yassine,Yassine,MERIAH,MERIAH,02-07-1993,Espérance Tunis (TUN),183,64,3
5,MF,GHANDRI Nader,Nader,GHANDRI,GHANDRI,18-02-1995,Club Africain (TUN),196,9,0
6,DF,BRONN Dylan,Dylan Daniel Mahmoud,BRONN,BRONN,19-06-1995,US Salernitana (ITA),186,38,2
7,FW,MSAKNI Youssef,Youssef,MSAKNI,MSAKNI,28-10-1990,Al Arabi SC (QAT),175,90,17
8,MF,MEJBRI Hannibal,Hannibal,MEJBRI,HANNIBAL,21-01-2003,Birmingham City FC (ENG),177,20,0
9,FW,JEBALI Issam,Issam,JEBALI,JEBALI,25-12-1991,Odense BK (DEN),182,12,2
10,FW,KHAZRI Wahbi,Wahbi,KHAZRI,KHAZRI,08-02-1991,Montpellier HSC (FRA),182,74,25
11,FW,KHENISSI Taha Yassine,Taha Yassine,KHENISSI,KHENISSI,06-01-1992,Al Kuwait SC (KUW),180,50,9
12,DF,MAALOUL Ali,Ali,MAALOUL,MAALOUL,01-01-1990,Al Ahly SC (EGY),175,83,2
13,MF,SASSI Ferjani,Ferjani,SASSI,SASSI,18-03-1992,Al Duhail SC (QAT),186,79,6
14,MF,LAIDOUNI Aissa,Aïssa Bilal,LAÏDOUNI,LAIDOUNI,13-12-1996,Ferencvárosi TC (HUN),183,29,1
15,MF,BEN ROMDHANE Mohamed Ali,Mohamed Ali,BEN ROMDHAN,BEN ROMDHANE,06-09-1999,Espérance Tunis (TUN),182,23,1
16,GK,DAHMEN Aymen,Aymen,DAHMEN,DAHMEN,28-01-1997,CS Sfaxien (TUN),188,8,0
17,MF,SKHIRI Ellyes,Ellyes Joris,SKHIRI,SKHIRI,10-05-1995,1. FC Köln (GER),185,52,3
18,MF,CHAALELI Ghaylen,Ghaylen,CHAALELI,CHAALELI,28-02-1994,Espérance Tunis (TUN),179,32,1
19,FW,JAZIRI Seifeddine,Seifeddine,JAZIRI,JAZIRI,12-02-1993,Zamalek SC (EGY),180,29,10
20,DF,DRAGER Mohamed,Mohamed,DRAGER,DRAGER,25-06-1996,FC Luzern (SUI),180,36,3
21,DF,KECHRIDA Wajdi,Wajdi,KECHRIDA,KECHRIDA,05-11-1995,Atromitos FC (GRE),177,21,0
22,GK,BEN SAID Bechir,Bechir,SAID,BEN SAID,29-11-1992,US Monastir (TUN),193,10,0
23,FW,SLITI Naim,Naim,SLITI,SLITI,27-07-1992,Al Ettifaq FC (KSA),173,71,14
24,DF,ABDI Ali,Ali,ELABDI,ABDI,20-12-1993,SM Caen (FRA),177,13,2
25,FW,SLIMANE Anis,Anis,BEN SLIMANE,SLIMANE,16-03-2001,Brøndby IF (DEN),188,26,4
26,GK,HASSEN Mouez,Mouez,HASSEN,HASSEN,05-03-1995,Club Africain (TUN),186,20,0
