#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,TURNER Matt,Matthew Charles,TURNER,TURNER,24-06-1994,Arsenal FC (ENG),190,22,0
2,DF,DEST Sergino,Sergino Gianni,DEST,DEST,03-11-2000,AC Milan (ITA),173,22,2
3,DF,ZIMMERMAN Walker,Walker Dwain,ZIMMERMAN,ZIMMERMAN,19-05-1993,Nashville Soccer Club (USA),190,35,3
4,MF,ADAMS Tyler,Tyler Shaan,ADAMS,ADAMS,14-02-1999,Leeds United FC (ENG),175,35,1
5,DF,ROBINSON Antonee,Antonee,ROBINSON,ROBINSON,08-08-1997,Fulham FC (ENG),182,32,2
6,MF,MUSAH Yunus,Yunus Dimoara,MUSAH,MUSAH,29-11-2002,Valencia CF (ESP),177,22,0
7,FW,REYNA Giovanni,Giovanni Alejandro,REYNA,REYNA,13-11-2002,Borussia Dortmund (GER),185,15,4
8,MF,McKENNIE Weston,Weston James Earl,MCKENNIE,MCKENNIE,28-08-1998,Juventus FC (ITA),185,40,9
9,FW,FERREIRA Jesus,Jesus David,FERREIRA CASTRO,FERREIRA,24-12-2000,FC Dallas (USA),175,15,7
10,FW,PULISIC Christian,Christian Mate,PULISIC,PULISIC,18-09-1998,Chelsea FC (ENG),179,55,22
11,FW,AARONSON Brenden,Brenden Russell,AARONSON,AARONSON,22-10-2000,Leeds United FC (ENG),177,27,6
12,GK,HORVATH Ethan,Ethan Shea,HORVATH,HORVATH,09-06-1995,Luton Town FC (ENG),193,8,0
13,DF,REAM Tim,Timothy Michael,REAM,REAM,05-10-1987,Fulham FC (ENG),185,49,1
14,MF,DE LA TORRE Luca,Lucas Daniel,DE LA TORRE,DE LA TORRE,23-05-1998,RC Celta Vigo (ESP),178,12,0
15,DF,LONG Aaron,Aaron Ray,LONG,LONG,12-10-1992,New York Red Bulls (USA),188,29,3
16,FW,MORRIS Jordan,Jordan Perry,MORRIS,MORRIS,26-10-1994,Seattle Sounders FC (USA),183,49,9
17,MF,ROLDAN Cristian,Cristian,ROLDAN,ROLDAN,03-06-1995,Seattle Sounders FC (USA),172,30,0
18,DF,MOORE Shaq,Shaquell Kwame,MOORE,MOORE,02-11-1996,Nashville Soccer Club (USA),180,16,1
19,FW,WRIGHT Haji,Haji Amir,WRIGHT,WRIGHT,27-03-1998,Antalyaspor AS (TUR),191,6,1
20,DF,CARTER-VICKERS Cameron,Cameron Robert,CARTER-VICKERS,CARTER-VICKERS,31-12-1997,Celtic FC (SCO),185,12,0
21,FW,WEAH Timothy,Timothy Tarpeh,WEAH,WEAH,22-02-2000,Lille OSC (FRA),182,28,4
22,DF,YEDLIN DeAndre,De Andre Roselle,YEDLIN,YEDLIN,09-07-1993,Inter Miami FC (USA),171,76,0
23,MF,ACOSTA Kellyn,Kellyn Kai,PERRY-ACOSTA,ACOSTA,24-07-1995,Los Angeles FC (USA),177,53,2
24,FW,SARGENT Josh,Joshua Thomas,SARGENT,SARGENT,20-02-2000,Norwich City FC (ENG),185,23,5
25,GK,JOHNSON Sean,Sean Everet,JOHNSON,JOHNSON,31-05-1989,New York City FC (USA),190,10,0
26,DF,SCALLY Joe,Joseph Michael,SCALLY,SCALLY,31-12-2002,VfL Borussia Mönchengladbach (GER),184,3,0
